time,coupling.w_ref,coupling.w_sim,coupling.w_relerr,coupling.tau_ref,coupling.tau_sim,coupling.tau_relerr,multiSensor.i_ref,multiSensor.i_sim,multiSensor.i_relerr
0.0113,1.1275231e-05,3.614993729,0.0417665,-0.00016654405,-96.19818925,1.51125,0.00024999984,149.6000475,4.03671
0.0114,1.1376365e-05,3.677113818,0.0424842,-0.00016667221,-96.93726585,1.52286,0.00024999984,150.7091385,4.06664
0.0115,1.1477415e-05,3.739667194,0.0432069,-0.00016680131,-97.67388249,1.53443,0.00024999984,151.8133214,4.09643
0.0116,1.1578377e-05,3.802651291,0.0439346,-0.00016693134,-98.40804738,1.54596,0.00024999984,152.9126018,4.12609
0.0117,1.1679252e-05,3.866063543,0.0446673,-0.0001670623,-99.13976866,1.55746,0.00024999984,154.0069858,4.15562
0.0118,1.1780039e-05,3.929901383,0.0454048,-0.00016719419,-99.86905448,1.56892,0.00024999984,155.096479,4.18502
0.0119,1.1880739e-05,3.994162248,0.0461473,-0.00016732699,-100.5959129,1.58034,0.00024999984,156.1810874,4.21429
0.012,1.1981349e-05,4.058843576,0.0468946,-0.0001674607,-101.3203521,1.59172,0.00024999984,157.260817,4.24342
0.0121,1.208187e-05,4.123942801,0.0476467,-0.00016759534,-102.0423801,1.60306,0.00024999984,158.3356738,4.27242
0.0122,1.2182302e-05,4.189457363,0.0484037,-0.00016773088,-102.7620048,1.61436,0.00024999984,159.4056639,4.3013
0.0123,1.2282642e-05,4.255384701,0.0491654,-0.00016786731,-103.4792344,1.62563,0.00024999984,160.4707932,4.33004
0.0124,1.2382891e-05,4.321722255,0.0499318,-0.00016800466,-104.1940767,1.63686,0.00024999984,161.531068,4.35865
0.0125,1.2483049e-05,4.388467467,0.050703,-0.00016814288,-104.9065398,1.64805,0.00024999984,162.5864943,4.38713
0.0126,1.2583114e-05,4.45561778,0.0514788,-0.00016828201,-105.6166314,1.65921,0.00024999984,163.6370785,4.41547
0.0127,1.2683086e-05,4.523170638,0.0522593,-0.00016842202,-106.3243597,1.67033,0.00024999984,164.6828266,4.44369
0.0128,1.2782963e-05,4.591123488,0.0530444,-0.00016856291,-107.0297323,1.68141,0.00024999984,165.7237452,4.47178
0.0129,1.2882748e-05,4.659473775,0.0538341,-0.00016870469,-107.7327571,1.69245,0.00024999984,166.7598405,4.49974
0.013,1.2982437e-05,4.728218947,0.0546284,-0.00016884733,-108.433442,1.70346,0.00024999984,167.7911189,4.52756
0.0131,1.3082031e-05,4.797356455,0.0554272,-0.00016899084,-109.1317948,1.71443,0.00024999984,168.8175869,4.55526
0.0132,1.3181529e-05,4.866883748,0.0562305,-0.00016913521,-109.8278231,1.72537,0.00024999984,169.8392509,4.58283
0.0133,1.328093e-05,4.936798276,0.0570382,-0.00016928045,-110.5215348,1.73626,0.00024999984,170.8561171,4.61027
0.0134,1.3380234e-05,5.007097498,0.0578504,-0.00016942654,-111.2129376,1.74713,0.00024999984,171.8681921,4.63758
0.0135,1.347944e-05,5.077778869,0.0586671,-0.0001695735,-111.9020391,1.75795,0.00024999984,172.8754827,4.66476
0.0136,1.3578549e-05,5.148839843,0.0594881,-0.00016972129,-112.588847,1.76874,0.00024999984,173.8779953,4.69181
0.0137,1.3677558e-05,5.220277879,0.0603135,-0.00016986992,-113.2733689,1.7795,0.00024999984,174.8757366,4.71873
0.0138,1.3776468e-05,5.292090438,0.0611432,-0.0001700194,-113.9556125,1.79021,0.00024999984,175.8687131,4.74553
0.0139,1.3875278e-05,5.364274982,0.0619772,-0.00017016972,-114.6355853,1.8009,0.00024999984,176.8569316,4.77219
0.014,1.3973988e-05,5.436828973,0.0628154,-0.00017032087,-115.3132949,1.81154,0.00024999984,177.8403989,4.79873
0.0141,1.4072596e-05,5.509749879,0.0636579,-0.00017047283,-115.9887488,1.82215,0.00024999984,178.8191216,4.82514
0.0142,1.4171103e-05,5.583035166,0.0645047,-0.00017062564,-116.6619545,1.83273,0.00024999984,179.7931066,4.85142
0.0143,1.4269508e-05,5.656682305,0.0653555,-0.00017077925,-117.3329196,1.84327,0.00024999984,180.7623607,4.87757
0.0144,1.4367811e-05,5.730688765,0.0662106,-0.00017093369,-118.0016514,1.85378,0.00024999984,181.726891,4.9036
0.0145,1.446601e-05,5.805052022,0.0670698,-0.00017108893,-118.6681574,1.86425,0.00024999984,182.6867043,4.9295
0.0146,1.4564104e-05,5.87976955,0.067933,-0.00017124499,-119.3324451,1.87468,0.00024999984,183.6418077,4.95527
0.0147,1.4662095e-05,5.954838825,0.0688004,-0.00017140183,-119.9945217,1.88508,0.00024999984,184.5922081,4.98092
0.0148,1.4759981e-05,6.030257328,0.0696717,-0.00017155948,-120.6543947,1.89545,0.00024999984,185.5379128,5.00643
0.0149,1.4857762e-05,6.106022537,0.0705471,-0.00017171794,-121.3120714,1.90578,0.00024999984,186.4789286,5.03183
0.015,1.4955437e-05,6.182131937,0.0714264,-0.00017187717,-121.9675591,1.91608,0.00024999984,187.4152623,5.05709
0.0151,1.5053005e-05,6.258583017,0.0723097,-0.00017203719,-122.6208651,1.92634,0.00024999984,188.3469214,5.08223
0.0152,1.5150466e-05,6.335373263,0.0731969,-0.00017219801,-123.2719966,1.93657,0.00024999984,189.273913,5.10724
0.0153,1.5247821e-05,6.412500165,0.074088,-0.00017235959,-123.9209609,1.94677,0.00024999984,190.1962444,5.13213
0.0154,1.5345067e-05,6.489961215,0.074983,-0.00017252195,-124.5677653,1.95693,0.00024999984,191.1139227,5.15689
0.0155,1.5442203e-05,6.567753908,0.0758818,-0.00017268509,-125.2124168,1.96705,0.00024999984,192.0269553,5.18153
0.0156,1.5539232e-05,6.645875739,0.0767844,-0.00017284899,-125.8549227,1.97715,0.00024999984,192.9353493,5.20604
0.015699999,1.5636151e-05,6.724323424,0.0776908,-0.00017301364,-126.4952837,1.98721,0.00024999984,193.8391031,5.23043
0.015799999,1.573296e-05,6.803096032,0.0786009,-0.00017317907,-127.1335197,1.99723,0.00024999984,194.7382422,5.25469
0.015900001,1.5829659e-05,6.882191872,0.0795147,-0.00017334524,-127.7696442,2.00723,0.00024999984,195.6327828,5.27883
0.016000001,1.5926245e-05,6.961605286,0.0804322,-0.00017351216,-128.4036387,2.01719,0.00024999984,196.5226966,5.30284
0.016100001,1.6022723e-05,7.041335363,0.0813534,-0.00017367983,-129.035523,2.02711,0.00024999984,197.408009,5.32673
0.0162,1.6119086e-05,7.121378813,0.0822782,-0.00017384824,-129.6652979,2.03701,0.00024999984,198.2887187,5.35049
0.0163,1.6215337e-05,7.201734753,0.0832066,-0.00017401739,-130.292983,2.04687,0.00024999984,199.1648511,5.37413
0.0164,1.6311475e-05,7.282399902,0.0841386,-0.00017418728,-130.9185789,2.0567,0.00024999984,200.0364048,5.39765
0.0165,1.6407501e-05,7.363371778,0.0850741,-0.00017435789,-131.5420926,2.06649,0.00024999981,200.9033875,5.42105
0.0166,1.6503411e-05,7.444647906,0.0860132,-0.00017452924,-132.163531,2.07626,0.00024999981,201.765807,5.44432
0.0167,1.6599208e-05,7.52622581,0.0869557,-0.0001747013,-132.782901,2.08599,0.00024999981,202.623671,5.46746
0.016799999,1.6694888e-05,7.608102197,0.0879017,-0.00017487409,-133.4002034,2.09568,0.00024999981,203.4769785,5.49049
0.016899999,1.6790455e-05,7.690276235,0.0888511,-0.00017504758,-134.0154574,2.10535,0.00024999981,204.325754,5.51339
0.017000001,1.6885904e-05,7.772746299,0.0898039,-0.00017522179,-134.6286758,2.11498,0.00024999981,205.1700139,5.53617
0.017100001,1.6981237e-05,7.855506626,0.0907601,-0.00017539671,-135.239841,2.12458,0.00024999981,206.0097323,5.55883
0.017200001,1.7076454e-05,7.938556401,0.0917196,-0.00017557232,-135.848972,2.13415,0.00024999981,206.844934,5.58137
0.0173,1.7171555e-05,8.021892333,0.0926825,-0.00017574865,-136.4560695,2.14369,0.00024999981,207.6756185,5.60378
0.0174,1.7266537e-05,8.105513633,0.0936486,-0.00017592566,-137.0611525,2.1532,0.00024999981,208.5018103,5.62608
0.0175,1.7361399e-05,8.189417018,0.094618,-0.00017610336,-137.6642215,2.16267,0.00024999981,209.323509,5.64825
0.0176,1.7456145e-05,8.273600041,0.0955906,-0.00017628176,-138.2652833,2.17211,0.00024999981,210.1407226,5.6703
0.0177,1.755077e-05,8.358060257,0.0965665,-0.00017646083,-138.8643446,2.18152,0.00024999981,210.953459,5.69223
0.0178,1.7645276e-05,8.442795224,0.0975455,-0.00017664058,-139.461412,2.1909,0.00024999981,211.7617264,5.71404
0.017899999,1.7739661e-05,8.527801654,0.0985276,-0.00017682101,-140.0564862,2.20025,0.00024999981,212.5655248,5.73573
0.017999999,1.7833927e-05,8.613078811,0.0995129,-0.00017700212,-140.6495857,2.20957,0.00024999981,213.3648783,5.7573
0.018100001,1.7928072e-05,8.698625129,0.100501,-0.00017718389,-141.240723,2.21886,0.00024999981,214.1598029,5.77875
0.018200001,1.8022094e-05,8.784434757,0.101493,-0.00017736632,-141.8298809,2.22811,0.00024999981,214.950275,5.80008
0.018300001,1.8115996e-05,8.870506979,0.102487,-0.00017754942,-142.417078,2.23734,0.00024999981,215.7363188,5.82129
0.0184,1.8209776e-05,8.956838509,0.103485,-0.00017773316,-143.0023148,2.24653,0.00024999981,216.5179346,5.84238
0.0185,1.8303432e-05,9.043428655,0.104485,-0.00017791757,-143.5856097,2.25569,0.00024999981,217.2951466,5.86335
0.0186,1.8396964e-05,9.13027414,0.105488,-0.00017810262,-144.1669631,2.26483,0.00024999981,218.0679551,5.8842
0.0187,1.8490375e-05,9.217372551,0.106495,-0.0001782883,-144.7463816,2.27393,0.00024999981,218.8363685,5.90494
0.0188,1.858366e-05,9.30472148,0.107504,-0.00017847464,-145.3238715,2.283,0.00024999981,219.6003953,5.92555
0.0189,1.8676821e-05,9.392318522,0.108516,-0.00017866162,-145.8994394,2.29204,0.00024999981,220.3600439,5.94605
0.018999999,1.8769857e-05,9.480160391,0.109531,-0.00017884922,-146.4730859,2.30105,0.00024999981,221.115314,5.96643
0.019099999,1.8862767e-05,9.568246455,0.110549,-0.00017903747,-147.0448289,2.31004,0.00024999981,221.8662302,5.98669
0.019200001,1.8955552e-05,9.656575212,0.111569,-0.00017922634,-147.6146802,2.31899,0.00024999981,222.612808,6.00684
0.019300001,1.9048211e-05,9.745140737,0.112592,-0.00017941582,-148.1826236,2.32791,0.00024999981,223.3550263,6.02687
0.019400001,1.9140743e-05,9.833942407,0.113618,-0.00017960592,-148.7486766,2.3368,0.00024999981,224.0929083,6.04678
0.0195,1.923315e-05,9.922976946,0.114647,-0.00017979664,-149.31284,2.34567,0.00024999981,224.8264553,6.06657
0.0196,1.9325427e-05,10.01224375,0.115678,-0.00017998797,-149.8751313,2.3545,0.00024999981,225.5556905,6.08625
0.0197,1.9417579e-05,10.10173957,0.116712,-0.00018017989,-150.4355512,2.3633,0.00024999981,226.2806151,6.10581
0.0198,1.9509602e-05,10.19146202,0.117749,-0.00018037244,-150.9941058,2.37208,0.00024999981,227.0012379,6.12525
0.0199,1.9601495e-05,10.28140873,0.118788,-0.00018056558,-151.5508013,2.38082,0.00024999981,227.7175673,6.14458
0.02,1.969326e-05,10.37157735,0.11983,-0.00018075931,-152.105644,2.38954,0.00024999981,228.4296122,6.1638
0.020099999,1.9784895e-05,10.4619646,0.120874,-0.00018095363,-152.6586344,2.39823,0.00024999981,229.1373741,6.18289
0.020199999,1.9876401e-05,10.55256994,0.121921,-0.00018114856,-153.2097899,2.40689,0.00024999981,229.840876,6.20188
0.020300001,1.9967776e-05,10.64339194,0.122971,-0.00018134405,-153.7591219,2.41552,0.00024999981,230.5401335,6.22075
0.020400001,2.0059022e-05,10.7344246,0.124022,-0.00018154013,-154.3066145,2.42412,0.00024999981,231.2351274,6.2395
0.020500001,2.0150135e-05,10.82566741,0.125076,-0.00018173679,-154.852285,2.43269,0.00024999981,231.9258805,6.25814
0.0206,2.0241119e-05,10.91711711,0.126133,-0.00018193403,-155.3961339,2.44123,0.00024999981,232.6123951,6.27666
0.0207,2.0331971e-05,11.00877318,0.127192,-0.00018213181,-155.9381781,2.44975,0.00024999981,233.2946936,6.29507
0.0208,2.0422689e-05,11.10063239,0.128253,-0.00018233019,-156.4784182,2.45824,0.00024999981,233.9727781,6.31337
