time,dcpm.airGapDC.ia,armatureInverter.idealDcDc.powerMot.product.u1,armatureInverter.iMot,armatureInverter.iDCFilter.u,armatureInverter.gain.u,speedController.integrator.y,slewRateLimiter.y,preFilter.y,dcpm.inertiaRotor.w,dcpm.friction.phi,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.iDCFilter.y,dcpm.inertiaRotor.a,dcpm.la.i,armatureInverter.iMotFilter.y,armatureInverter.vDCFilter.y,armatureInverter.idealDcDc.deadTime.y,loadInertia.w,loadInertia.phi,armatureInverter.idealDcDc.powerController.y
0.2620260021,149.9881838,19.75138076,149.9877766,24.99977323,118.5155989,1.588310616,19.74348964,148.9235926,19.24442444,0.58168334,12.57220369,19.54875489,24.74001881,318.2848114,149.9881838,149.9877766,118.5155989,19.75138076,19.24442444,0.58168334,24.99977323
0.2761389375,149.992616,22.6110798,149.9923615,28.67354225,118.2952314,1.590759712,24.23577651,149.1520003,23.73642899,0.8849761893,12.57679132,22.40844775,28.41280918,318.2942168,149.992616,149.9923615,118.2952314,22.6110798,23.73642899,0.8849761893,28.67354225
0.2942489118,149.995961,26.28079231,149.9958218,33.40815607,118.0112309,1.591420324,30.00036036,149.2136103,29.50079976,1.367038418,12.58025361,26.07815558,33.14615185,318.3013151,149.995961,149.9958218,118.0112309,26.28079231,29.50079976,1.367038418,33.40815607
0.3186166728,149.9982064,31.21864209,149.9981446,39.8154696,117.6268966,1.591538155,37.75685959,149.2245994,37.25715596,2.180409139,12.5825778,31.01600223,39.55172323,318.30608,149.9982064,149.9981446,117.6268966,31.21864209,37.25715596,2.180409139,39.8154696
0.3526508645,149.9994228,38.11536199,149.9994029,48.83651975,117.0857835,1.591549065,48.5902793,149.2256169,48.09049818,3.63277811,12.58383688,37.91272043,48.57027485,318.3086613,149.9994228,149.9994029,117.0857835,38.11536199,48.09049818,3.63277811,48.83651975
0.3967890551,149.9998673,47.05961139,149.9998628,60.66455404,116.3763027,1.591549428,62.6399017,149.2256507,62.14009227,6.065467363,12.58429701,46.85696921,60.39495448,318.3096047,149.9998673,149.9998628,116.3763027,47.05961139,62.14009227,6.065467363,60.66455404
0.4515571589,149.9999786,58.1579451,149.9999779,75.55142795,115.4833512,1.591549431,80.07313061,149.225651,79.57331409,9.946154587,12.58441217,57.95530277,75.27747933,318.3098408,149.9999786,149.9999779,115.4833512,58.1579451,79.57331409,9.946154587,75.55142795
0.5185951127,149.9999977,71.74267398,149.9999976,94.10634077,114.370394,1.591549431,101.4119741,149.225651,100.9121563,15.99584289,12.58443195,71.54003162,93.82676611,318.3098813,149.9999977,149.9999976,114.370394,71.74267398,100.9121563,15.99584289,94.10634077
0.5991084144,149.9999998,88.05807994,149.9999998,116.9061186,113.0028419,1.591549431,127.0401539,149.225651,126.5403361,25.15231845,12.58443416,87.85543757,116.6193017,318.3098859,149.9999998,149.9999998,113.0028419,88.05807994,126.5403361,25.15231845,116.9061186
0.628150595,149.9999999,93.94325616,149.9999999,125.276121,112.5008017,1.591549431,136.2845671,149.225651,135.7847493,28.9615647,12.58443426,93.74061379,124.9866389,318.3098861,149.9999999,149.9999999,112.5008017,93.94325616,135.7847493,28.9615647,125.276121
0.6433547916,150,97.02427055,150,129.6900963,112.2360514,1.591549431,141.1242132,149.225651,140.6243953,31.06285418,12.58443428,96.82162818,129.3991435,318.3098861,150,150,112.2360514,97.02427055,140.6243953,31.06285418,129.6900963
0.6556452505,150,99.51483824,150,133.2746056,112.0210529,1.591549431,145.0363878,149.225651,144.5365699,32.81523375,12.5844343,99.31219588,132.982451,318.3098861,150,150,112.0210529,99.51483824,144.5365699,32.81523375,133.2746056
0.6616691744,150,100.7355404,150,135.0369061,111.9153506,1.591549431,146.9538623,149.225651,146.4540444,33.69168641,12.5844343,100.5328981,134.7441569,318.3098861,150,150,111.9153506,100.7355404,146.4540444,33.69168641,135.0369061
0.6654970363,150,101.5112274,150,136.1586162,111.8480708,1.591549431,148.1723086,149.225651,147.6724907,34.25462429,12.5844343,101.3085851,135.8654871,318.3098861,150,150,111.8480708,101.5112274,147.6724907,34.25462429,136.1586162
0.6676365943,150,101.9447925,150,136.7862237,111.8104271,1.591549431,148.8533511,149.225651,148.3535332,34.57130671,12.5844343,101.7421502,136.4928816,318.3098861,150,150,111.8104271,101.9447925,148.3535332,34.57130671,136.7862237
0.668625069,150,102.1450994,150,137.0763322,111.7930265,1.591549431,149.0990833,149.225651,148.6681745,34.71810593,12.5844343,101.942457,136.7828915,318.3098862,150,150,111.7930265,102.1450994,148.6681745,34.71810593,137.0763322
0.6690650528,150,102.2342587,150,137.2054949,111.7852794,1.591549431,149.1441355,149.225651,148.8082257,34.78354833,12.5844343,102.0316164,136.9120103,318.3098862,150,150,111.7852794,102.2342587,148.8082257,34.78354833,137.2054949
0.670301854,150,102.4848871,150,137.5686768,111.7634959,1.591549431,149.201986,149.225651,149.2019117,34.96783798,12.5844343,102.2822447,137.2750687,318.3098862,150,150,111.7634959,102.4848871,149.2019117,34.96783798,137.5686768
0.670641074,149.8772934,100.7176388,149.9912358,134.8920579,111.7729228,1.590424937,149.2087938,149.225651,149.3098691,35.01846857,12.54879413,102.1796324,137.1179539,318.0494947,149.8772934,149.9912358,111.7729228,100.7176388,149.3098691,35.01846857,134.8920579
0.6708082205,149.5505385,98.4425,149.9511349,131.3051273,111.8097427,1.58857324,149.2113886,149.225651,149.3629795,35.04342962,12.48972188,101.7815118,136.5042881,317.3560992,149.5505385,149.9511349,111.8097427,98.4425,149.3629795,35.04342962,131.3051273
0.67120293,147.6165463,91.81221364,149.531858,120.161323,112.0233397,1.580688878,149.2160399,149.225651,149.4875551,35.10240926,12.23670077,99.56834877,132.9443385,313.2520404,147.6165463,149.531858,112.0233397,91.81221364,149.4875551,35.10240926,120.161323
0.6715976396,143.873554,84.74314188,148.3065512,107.3665425,112.4055465,1.567929207,149.2191743,149.225651,149.6097591,35.16143765,11.82809189,95.81000795,126.5742253,305.3091639,143.873554,148.3065512,112.4055465,84.74314188,149.6097591,35.16143765,107.3665425
0.6721266717,136.0642241,75.73803745,144.8452115,89.92005929,113.1140428,1.543405893,149.2218351,149.225651,149.7671818,35.24062804,11.05617915,89.21985014,114.765953,288.7372513,136.0642241,144.8452115,113.1140428,75.73803745,149.7671818,35.24062804,89.92005929
0.6727523027,123.1927223,66.67954484,137.5948639,70.97239488,114.1052383,1.504041011,149.2236098,149.225651,149.9396743,35.33438188,9.864924306,80.54520841,98.24602826,261.423076,123.1927223,137.5948639,114.1052383,66.67954484,149.9396743,35.33438188,70.97239488
0.6735207795,103.3088708,58.69937866,124.0233492,51.88069683,115.3419563,1.441846676,149.2247045,149.225651,150.1248538,35.44968027,8.108761758,70.53435085,77.63406197,219.2282328,103.3088708,124.0233492,115.3419563,58.69937866,150.1248538,35.44968027,51.88069683
