time,cuboidLeft.Phi.re,cuboidLeft.Phi.im,source.port_p.reference.gamma
0.56,2.680825733e-11,0,175.9291886
0.561,2.685612921e-11,0,176.2433479
0.562,2.69040011e-11,0,176.5575071
0.563,2.695187299e-11,0,176.8716664
0.564,2.699974488e-11,0,177.1858257
0.565,2.704761677e-11,0,177.4999849
0.566,2.709548865e-11,0,177.8141442
0.567,2.714336054e-11,0,178.1283035
0.568,2.719123243e-11,0,178.4424627
0.569,2.723910432e-11,0,178.756622
0.57,2.728697621e-11,0,179.0707813
0.571,2.733484809e-11,0,179.3849405
0.572,2.738271998e-11,0,179.6990998
0.573,2.743059187e-11,0,180.0132591
0.574,2.747846376e-11,0,180.3274183
0.575,2.752633565e-11,0,180.6415776
0.576,2.757420753e-11,0,180.9557368
0.577,2.762207942e-11,0,181.2698961
0.578,2.766995131e-11,0,181.5840554
0.579,2.77178232e-11,0,181.8982146
0.58,2.776569509e-11,0,182.2123739
0.581,2.781356697e-11,0,182.5265332
0.582,2.786143886e-11,0,182.8406924
0.583,2.790931075e-11,0,183.1548517
0.584,2.795718264e-11,0,183.469011
0.585,2.800505453e-11,0,183.7831702
0.586,2.805292642e-11,0,184.0973295
0.587,2.81007983e-11,0,184.4114888
0.588,2.814867019e-11,0,184.725648
0.589,2.819654208e-11,0,185.0398073
0.59,2.824441397e-11,0,185.3539666
0.591,2.829228586e-11,0,185.6681258
0.592,2.834015774e-11,0,185.9822851
0.593,2.838802963e-11,0,186.2964444
0.594,2.843590152e-11,0,186.6106036
0.595,2.848377341e-11,0,186.9247629
0.596,2.85316453e-11,0,187.2389222
0.597,2.857951718e-11,0,187.5530814
0.598,2.862738907e-11,0,187.8672407
0.599,2.867526096e-11,0,188.1814
0.6,2.872313285e-11,0,188.4955592
0.601,2.877100474e-11,0,188.8097185
0.602,2.881887662e-11,0,189.1238777
0.603,2.886674851e-11,0,189.438037
0.604,2.89146204e-11,0,189.7521963
0.605,2.896249229e-11,0,190.0663555
0.606,2.901036418e-11,0,190.3805148
0.607,2.905823607e-11,0,190.6946741
0.608,2.910610795e-11,0,191.0088333
0.609,2.915397984e-11,0,191.3229926
