time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0.053,297.4237883,297.4338594,3.14738e-05,294.0848907,294.166085,0.000261344,293.2695006,293.2250434,0.000145391
0.0535,297.4570389,297.4674769,3.26204e-05,294.099287,294.1824661,0.000267733,293.2724252,293.2268404,0.000149079
0.054,297.4901957,297.5010086,3.37917e-05,294.1137409,294.1989329,0.000274212,293.2753893,293.22866,0.000152822
0.0545,297.5232597,297.5344553,3.49877e-05,294.1282514,294.2154847,0.000280782,293.2783929,293.2305024,0.000156619
0.055,297.5562317,297.5678179,3.62084e-05,294.1428175,294.2321206,0.000287445,293.2814361,293.2323675,0.000160472
0.0555,297.5891125,297.6010972,3.74538e-05,294.1574381,294.2488397,0.000294199,293.2845188,293.2342552,0.00016438
0.056,297.621903,297.6342941,3.87239e-05,294.1721122,294.2656412,0.000301047,293.2876413,293.2361656,0.000168344
0.0565,297.654604,297.6674094,4.00187e-05,294.1868389,294.2825242,0.000307988,293.2908035,293.2380987,0.000172364
0.057,297.6872164,297.700444,4.13382e-05,294.2016172,294.2994881,0.000315022,293.2940055,293.2400543,0.00017644
0.0575,297.7197409,297.7333986,4.26821e-05,294.2164459,294.3165318,0.000322152,293.2972474,293.2420325,0.000180572
0.058,297.7521785,297.766274,4.40504e-05,294.2313242,294.3336547,0.000329377,293.3005291,293.2440333,0.000184761
0.0585,297.78453,297.7990711,4.5443e-05,294.2462509,294.350856,0.000336698,293.3038508,293.2460566,0.000189008
0.059,297.8167923,297.8317906,4.68718e-05,294.2612301,294.3681347,0.0003441,293.3072109,293.2481024,0.000193306
0.0595,297.8489655,297.8644333,4.83391e-05,294.2762617,294.3854903,0.00035158,293.3106091,293.2501706,0.000197656
0.06,297.8810533,297.8969999,4.98354e-05,294.291341,294.4029218,0.000359151,293.3140467,293.2522612,0.000202061
0.0605,297.9130566,297.9294914,5.1361e-05,294.3064671,294.4204286,0.000366814,293.3175237,293.2543741,0.000206521
0.061,297.944976,297.9619083,5.29159e-05,294.3216391,294.4380098,0.000374569,293.32104,293.2565094,0.000211038
0.0615,297.9768122,297.9942515,5.45003e-05,294.3368563,294.4556648,0.000382415,293.3245958,293.258667,0.000215611
0.062,298.008566,298.0265217,5.6114e-05,294.3521177,294.4733927,0.000390355,293.3281911,293.2608468,0.00022024
0.0625,298.0402381,298.0587195,5.77572e-05,294.3674225,294.4911929,0.000398387,293.3318257,293.2630488,0.000224925
0.063,298.0718292,298.0908459,5.94299e-05,294.3827698,294.5090646,0.000406512,293.3354998,293.2652729,0.000229667
0.0635,298.10334,298.1229014,6.11321e-05,294.3981587,294.5270072,0.000414732,293.3392132,293.2675191,0.000234465
0.064,298.1347713,298.1548868,6.28636e-05,294.4135885,294.5450198,0.000423045,293.3429662,293.2697874,0.000239321
0.0645,298.1661238,298.1868027,6.46244e-05,294.4290582,294.5631019,0.000431454,293.3467586,293.2720776,0.000244234
0.065,298.1973982,298.2186499,6.64145e-05,294.444567,294.5812527,0.000439958,293.3505904,293.2743897,0.000249204
0.0655,298.2285941,298.250429,6.82374e-05,294.4601155,294.5994715,0.000448553,293.3544612,293.2767237,0.000254229
0.066,298.2597098,298.2821408,7.01001e-05,294.4757058,294.6177576,0.00045723,293.3583701,293.2790795,0.000259309
0.0665,298.2907483,298.3137858,7.19954e-05,294.4913343,294.6361105,0.000465999,293.362318,293.281457,0.000264444
0.067,298.3217104,298.3453648,7.39236e-05,294.507,294.6545293,0.000474861,293.3663048,293.2838562,0.000269636
0.0675,298.3525964,298.3768784,7.58848e-05,294.5227026,294.6730136,0.000483814,293.3703305,293.2862771,0.000274885
0.068,298.383407,298.4083272,7.78793e-05,294.5384411,294.6915626,0.00049286,293.374395,293.2887194,0.00028019
0.0685,298.4141427,298.4397119,7.99073e-05,294.5542151,294.7101756,0.000501999,293.3784982,293.2911832,0.000285551
0.069,298.4448042,298.4710331,8.19691e-05,294.5700238,294.7288522,0.00051123,293.3826402,293.2936684,0.00029097
0.0695,298.4753919,298.5022915,8.40649e-05,294.5858666,294.7475916,0.000520553,293.3868208,293.296175,0.000296444
0.07,298.5059064,298.5334875,8.61948e-05,294.6017429,294.7663932,0.000529969,293.39104,293.2987027,0.000301976
0.0705,298.5363483,298.5646219,8.83591e-05,294.6176521,294.7852565,0.000539477,293.3952977,293.3012517,0.000307564
0.071,298.566718,298.5956952,9.0558e-05,294.6335936,294.8041809,0.000549079,293.3995938,293.3038217,0.000313209
0.0715,298.5970161,298.626708,9.27917e-05,294.6495666,294.8231656,0.000558773,293.4039282,293.3064128,0.00031891
0.072,298.627243,298.657661,9.50605e-05,294.6655708,294.8422103,0.000568559,293.408301,293.3090248,0.000324669
0.0725,298.657399,298.6885546,9.73656e-05,294.681606,294.8613143,0.000578437,293.4127119,293.3116576,0.000330484
0.073,298.6874848,298.7193892,9.97059e-05,294.6976711,294.8804772,0.000588408,293.4171609,293.3143111,0.000336356
0.0735,298.7175009,298.7501632,0.000102075,294.7137657,294.8997007,0.000598479,293.4216479,293.3169846,0.000342287
0.074,298.7474477,298.7808803,0.000104481,294.7298893,294.9189811,0.00060864,293.4261729,293.3196788,0.000348274
0.0745,298.7773258,298.8115408,0.000106927,294.7460412,294.938318,0.000618892,293.4307357,293.3223938,0.000354317
0.075,298.8071356,298.8421454,0.000109411,294.7622211,294.9577108,0.000629234,293.4353363,293.3251294,0.000360416
0.0755,298.8368775,298.8726946,0.000111934,294.7784282,294.9771591,0.000639666,293.4399745,293.3278855,0.000366571
0.076,298.866552,298.9031889,0.000114495,294.7946622,294.9966622,0.000650188,293.4446502,293.330662,0.000372782
0.0765,298.8961596,298.9336287,0.000117096,294.8109226,295.0162197,0.000660801,293.4493634,293.3334589,0.000379049
0.077,298.9257006,298.9640147,0.000119737,294.8272088,295.035831,0.000671504,293.454114,293.3362761,0.000385372
0.0775,298.9551755,298.9943473,0.000122417,294.8435203,295.0554957,0.000682297,293.4589018,293.3391134,0.000391751
0.078,298.9845848,299.024627,0.000125138,294.8598568,295.0752132,0.00069318,293.4637267,293.3419708,0.000398185
0.0785,299.0139288,299.0548543,0.000127898,294.8762177,295.0949831,0.000704152,293.4685886,293.3448481,0.000404676
0.079,299.0432091,299.0850298,0.000130695,294.892601,295.1148049,0.00071522,293.473488,293.3477453,0.000411224
0.0795,299.0724256,299.1151538,0.000133532,294.9090071,295.134678,0.000726379,293.4784246,293.3506624,0.000417828
0.08,299.1015784,299.145227,0.000136408,294.9254357,295.154602,0.00073763,293.483398,293.3535991,0.000424489
