time,m4.v,m4.s,m3.v,m3.s,m2.v,m2.s,m1.v,m1.s,sd2.s_rel,sd1.s_rel,sd2.v_rel,sd1.v_rel
3.756841431,0,12.5,0,4.5,-0.41709979,2.885020708,0.2074947691,0.4421363194,4,0.9428843883,0,-0.6245945591
3.78248649,0,12.5,0,4.5,-0.1912124774,2.87700057,1.264855079,0.4623588646,4,0.9146417049,0,-1.456067556
3.808131549,0,12.5,0,4.5,0.1440788401,2.876173189,1.431648529,0.4992021596,4,0.8769710297,0,-1.287569689
3.838225409,0,12.5,0,4.5,0.6187479339,2.887598382,0.4442336287,0.5298291545,4,0.8577692272,0,0.1745143052
3.861984875,0,12.5,0,4.5,0.9520181391,2.906436324,-0.6200818056,0.5274475888,4,0.8789887354,0,1.572099945
3.885744341,0,12.5,0,4.5,1.162250171,2.931849165,-1.233271241,0.5040187828,4,0.9278303824,0,2.395521412
3.911585151,0,12.5,0,4.5,1.217484592,2.962970152,-0.9812215712,0.4732997991,4,0.9896703524,0,2.198706163
3.938615957,0,12.5,0,4.5,1.127526565,2.994900521,0.07548687562,0.4599991089,4,1.034901412,0,1.05203969
3.959605377,0,12.5,0,4.5,1.017409281,3.017421239,0.9410889807,0.4710668383,4,1.046354401,0,0.07632030009
3.982819874,0,12.5,0,4.5,0.9095583729,3.039728946,1.409408045,0.4997072555,4,1.04002169,0,-0.4998496719
4.007315341,0,12.5,0,4.5,0.8281062902,3.060960595,1.086683784,0.5319591017,4,1.029001493,0,-0.2585774942
4.035430837,0,12.5,0,4.5,0.7298094266,3.082970831,-0.01281008799,0.5480162064,4,1.034954625,0,0.7426195146
4.056792372,0,12.5,0,4.5,0.5977129798,3.09727761,-0.8358655385,0.5384565472,4,1.058821063,0,1.433578518
4.080207193,0,12.5,0,4.5,0.3608583611,3.108695323,-1.219400984,0.5130248288,4,1.095670494,0,1.580259345
4.105346954,0,12.5,0,4.5,0.01229690568,3.113537417,-0.8330840692,0.4856129725,4,1.127924445,0,0.8453809749
4.130846929,0,12.5,0,4.5,-0.3705999616,3.108929866,0.09412707127,0.4756872094,4,1.133242656,0,-0.4647270329
4.156346905,0,12.5,0,4.5,-0.6883826234,3.095199933,0.9018011093,0.4893651586,4,1.105834775,0,-1.590183733
4.18184688,0,12.5,0,4.5,-0.8771551408,3.07493878,1.032185414,0.5157742074,4,1.059164573,0,-1.909340554
4.211185945,0,12.5,0,4.5,-0.938235269,3.047974509,0.2676673421,0.5367038854,4,1.011270623,0,-1.205902611
4.235225526,0,12.5,0,4.5,-0.9214240034,3.025569923,-0.6216857707,0.5322861423,4,0.9932837812,0,-0.2997382326
4.259265106,0,12.5,0,4.5,-0.9022920035,3.003682438,-1.171028574,0.5096013655,4,0.9940810727,0,0.2687365707
4.285257167,0,12.5,0,4.5,-0.9027786041,2.980259621,-1.018718253,0.4793864167,4,1.000873204,0,0.1159396494
4.313685681,0,12.5,0,4.5,-0.8911792316,2.954640666,-0.135452872,0.4619083908,4,0.9927322755,0,-0.7557263595
4.334949157,0,12.5,0,4.5,-0.8256685399,2.936264348,0.5823825559,0.4669766565,4,0.9692876912,0,-1.408051096
