time,feedback.opAmp.v_in,feedback.r3.i,feedback.r4.i
0.315,6.427863232e-05,-0.001535756237,0.0025
0.316,5.253187318e-05,-0.00171196937,0.0025
0.317,4.185625637e-05,-0.001872114298,0.0025
0.318,3.229285531e-05,-0.002015574877,0.0025
0.319,2.388061933e-05,-0.002141766829,0.0025
0.32,1.665637364e-05,-0.002250137739,0.0025
0.321,1.065481939e-05,-0.002340167054,0.0025
0.322,5.90853361e-06,-0.002411366087,0.0025
0.323,2.447969268e-06,-0.002463278013,0.0025
0.324,3.014552188e-07,-0.00249547787,0.0025
0.325,-5.048037656e-07,-0.002507572561,0.0025
0.326,5.327299361e-08,-0.002499200852,0.0025
0.327,1.997642084e-06,-0.002470033371,0.0025
0.328,5.348136002e-06,-0.002419772612,0.0025
0.329,1.012246315e-05,-0.00234815293,0.0025
0.33,1.630560672e-05,-0.002255399594,0.0025
0.331,2.335160628e-05,-0.002149702554,0.0025
0.332,3.174959205e-05,-0.00202372437,0.0025
0.333,4.14273746e-05,-0.001878547954,0.0025
0.334,5.231288694e-05,-0.001715254383,0.0025
0.335,6.433418452e-05,-0.001534922898,0.0025
0.336,7.741944521e-05,-0.001338630902,0.0025
0.337,9.149696929e-05,-0.001127453964,0.0025
0.338,0.0001064951795,-0.0009024658121,0.0025
0.339,0.000122342621,-0.0006647383418,0.0025
0.34,0.0001389679614,-0.0004153416104,0.0025
0.341,0.0001562999908,-0.0001553438386,0.0025
0.342,0.0001742676214,0.0001141885893,0.0025
0.343,0.0001927998884,0.0003921911255,0.0025
0.344,0.0002118259489,0.0006776010589,0.0025
0.345,0.0002312750827,0.0009693575149,0.0025
0.346,0.0002510766919,0.001266401456,0.0025
0.347,0.0002711603013,0.00156767568,0.0025
0.348,0.0002914555578,0.001872124822,0.0025
0.349,0.0003118922308,0.002178695355,0.0025
0.35,0.0003324002124,0.002486335586,0.0025
0.351,0.0003529095167,0.00279399566,0.0025
0.352,0.0003733502806,0.00310062756,0.0025
0.353,0.0003936527633,0.003405185102,0.0025
0.354,0.0004137473464,0.003706623943,0.0025
0.355,0.0004335645338,0.004003901572,0.0025
0.356,0.0004530349522,0.004295977318,0.0025
0.357,0.0004720893504,0.004581812345,0.0025
0.358,0.0004906585997,0.004860369654,0.0025
0.359,0.000508673694,0.005130614083,0.0025
0.36,0.0005260657494,0.005391512306,0.0025
0.361,0.0005427660045,0.005642032833,0.0025
0.362,0.0005587058205,0.005881146013,0.0025
0.363,0.0005738166807,0.006107824027,0.0025
0.364,0.0005880301912,0.006321040899,0.0025
0.365,0.0006012780803,0.006519772483,0.0025
0.366,0.0006134921988,0.006702996474,0.0025
0.367,0.0006246045198,0.006869692402,0.0025
0.368,0.0006345471391,0.007018841633,0.0025
0.369,0.000643326162,0.007150535757,0.0025
0.37,0.0006508162751,0.007262894942,0.0025
0.371,0.0006566162151,0.007349899843,0.0025
0.372,0.000660782047,0.007412391487,0.0025
0.373,0.000663369809,0.007451210505,0.0025
0.374,0.000664435513,0.00746719713,0.0025
0.375,0.0006640351444,0.007461191201,0.0025
0.376,0.0006622246622,0.007434032158,0.0025
0.377,0.0006590599991,0.007386559047,0.0025
0.378,0.0006545970612,0.007319610514,0.0025
0.379,0.0006488917281,0.007234024813,0.0025
0.38,0.0006419998531,0.007130639797,0.0025
0.381,0.0006339772632,0.007010292925,0.0025
0.382,0.0006248797586,0.006873821259,0.0025
0.383,0.0006147631134,0.006722061464,0.0025
0.384,0.0006036830751,0.006555849809,0.0025
0.385,0.0005916953648,0.006376022167,0.0025
0.386,0.0005788556772,0.006183414013,0.0025
0.387,0.0005652196805,0.005978860427,0.0025
0.388,0.0005508430165,0.00576319609,0.0025
0.389,0.0005357813006,0.00553725529,0.0025
0.39,0.0005200901217,0.005301871916,0.0025
0.391,0.0005038250423,0.00505787946,0.0025
0.392,0.0004870415985,0.00480611102,0.0025
0.393,0.0004697953,0.004547399295,0.0025
0.394,0.0004521416298,0.004282576589,0.0025
0.395,0.0004341360449,0.004012474809,0.0025
0.396,0.0004158339754,0.003737925465,0.0025
0.397,0.0003972908254,0.003459759671,0.0025
0.398,0.0003785619722,0.003178808145,0.0025
0.399,0.0003597027669,0.002895901206,0.0025
0.4,0.0003407685341,0.00261186878,0.0025
0.401,0.000321814572,0.002327540394,0.0025
0.402,0.0003028961522,0.002043745179,0.0025
0.403,0.0002840685201,0.001761311871,0.0025
0.404,0.0002653868946,0.001481068806,0.0025
0.405,0.000246906468,0.001203843927,0.0025
0.406,0.0002286824064,0.0009304647778,0.0025
0.407,0.0002107698492,0.0006617585082,0.0025
0.408,0.0001932239097,0.0003985518696,0.0025
0.409,0.0001760996745,0.0001416712174,0.0025
0.41,0.0001594522039,-0.0001080574894,0.0025
0.411,0.0001433365317,-0.0003498086886,0.0025
0.412,0.0001278076652,-0.0005827572143,0.0025
0.413,0.0001129205855,-0.0008060782972,0.0025
0.414,9.873024701e-05,-0.001018947565,0.0025
0.415,8.529157787e-05,-0.00122054104,0.0025
0.416,7.265947972e-05,-0.001410035145,0.0025
0.417,6.088882777e-05,-0.001586606695,0.0025
0.418,5.00344708e-05,-0.001749432903,0.0025
0.419,4.015123118e-05,-0.001897691381,0.0025
0.42,3.12939048e-05,-0.002030560134,0.0025
0.421,2.351726115e-05,-0.002147217565,0.0025
0.422,1.687604329e-05,-0.002246842475,0.0025
0.423,1.142496781e-05,-0.002328614058,0.0025
0.424,7.218724902e-06,-0.002391711908,0.0025
0.425,4.311978312e-06,-0.002435316013,0.0025
0.426,2.759365349e-06,-0.00245860676,0.0025
0.427,2.625161207e-06,-0.002460606675,0.0025
0.428,4.728121089e-06,-0.002426409556,0.0025
0.429,6.747349927e-06,-0.002392504427,0.0025
0.43,8.684413401e-06,-0.002358885408,0.0025
0.431,1.054086909e-05,-0.002325546653,0.0025
0.432,1.231826649e-05,-0.002292482348,0.0025
0.433,1.401814699e-05,-0.002259686714,0.0025
0.434,1.564204387e-05,-0.002227154007,0.0025
0.435,1.719148233e-05,-0.002194878514,0.0025
0.436,1.866797948e-05,-0.002162854558,0.0025
0.437,2.007304431e-05,-0.002131076496,0.0025
0.438,2.140817772e-05,-0.002099538716,0.0025
0.439,2.267487254e-05,-0.002068235644,0.0025
0.44,2.387461346e-05,-0.002037161736,0.0025
0.441,2.500887711e-05,-0.002006311484,0.0025
0.442,2.607913201e-05,-0.001975679413,0.0025
0.443,2.708683856e-05,-0.001945260081,0.0025
0.444,2.803344911e-05,-0.001915048082,0.0025
0.445,2.892040787e-05,-0.001885038042,0.0025
0.446,2.974915098e-05,-0.001855224621,0.0025
0.447,3.052110647e-05,-0.001825602514,0.0025
0.448,3.123769428e-05,-0.001796166448,0.0025
0.449,3.190032625e-05,-0.001766911184,0.0025
0.45,3.251040613e-05,-0.001737831519,0.0025
0.451,3.306932955e-05,-0.001708922282,0.0025
0.452,3.357848408e-05,-0.001680178335,0.0025
0.453,3.403924916e-05,-0.001651594575,0.0025
0.454,3.445299615e-05,-0.001623165934,0.0025
0.455,3.482108831e-05,-0.001594887375,0.0025
0.456,3.51448808e-05,-0.001566753897,0.0025
0.457,3.54257207e-05,-0.001538760532,0.0025
0.458,3.566494697e-05,-0.001510902345,0.0025
0.459,3.586389047e-05,-0.001483174436,0.0025
0.46,3.6023874e-05,-0.001455571939,0.0025
0.461,3.614621222e-05,-0.001428090021,0.0025
0.462,3.623221173e-05,-0.001400723882,0.0025
0.463,3.6283171e-05,-0.001373468757,0.0025
0.464,3.630038042e-05,-0.001346319916,0.0025
0.465,3.628512229e-05,-0.00131927266,0.0025
0.466,3.62386708e-05,-0.001292322325,0.0025
0.467,3.616229205e-05,-0.001265464282,0.0025
0.468,3.605724404e-05,-0.001238693934,0.0025
0.469,3.592477668e-05,-0.001212006719,0.0025
0.47,3.576613177e-05,-0.001185398107,0.0025
0.471,3.558254303e-05,-0.001158863605,0.0025
0.472,3.537523607e-05,-0.001132398751,0.0025
0.473,3.51454284e-05,-0.001105999117,0.0025
0.474,3.489432945e-05,-0.001079660311,0.0025
0.475,3.462314054e-05,-0.001053377972,0.0025
0.476,3.433305491e-05,-0.001027147774,0.0025
0.477,3.402525767e-05,-0.001000965426,0.0025
0.478,3.370092586e-05,-0.0009748266693,0.0025
0.479,3.336122843e-05,-0.0009487272788,0.0025
0.48,3.300732621e-05,-0.000922663064,0.0025
0.481,3.264037193e-05,-0.000896629868,0.0025
0.482,3.226151026e-05,-0.0008706235677,0.0025
0.483,3.187187774e-05,-0.0008446400736,0.0025
0.484,3.147260283e-05,-0.0008186753301,0.0025
0.485,3.106480587e-05,-0.0007927253156,0.0025
0.486,3.064959912e-05,-0.0007667860418,0.0025
0.487,3.022808676e-05,-0.0007408535548,0.0025
0.488,2.980136485e-05,-0.000714923934,0.0025
0.489,2.937052135e-05,-0.0006889932928,0.0025
0.49,2.893663614e-05,-0.0006630577785,0.0025
0.491,2.850078099e-05,-0.0006371135719,0.0025
0.492,2.806401958e-05,-0.0006111568878,0.0025
0.493,2.762740749e-05,-0.0005851839748,0.0025
0.494,2.719199222e-05,-0.0005591911153,0.0025
0.495,2.675881313e-05,-0.0005331746253,0.0025
0.496,2.632890154e-05,-0.0005071308548,0.0025
0.497,2.590328063e-05,-0.0004810561876,0.0025
0.498,2.54829655e-05,-0.0004549470411,0.0025
0.499,2.506896315e-05,-0.0004287998666,0.0025
0.5,2.466227248e-05,-0.0004026111493,0.0025
0.501,2.426388431e-05,-0.0003763774081,0.0025
0.502,2.387478134e-05,-0.0003500951955,0.0025
0.503,2.349593818e-05,-0.0003237610982,0.0025
0.504,2.312832137e-05,-0.0002973717364,0.0025
0.505,2.27728893e-05,-0.0002709237642,0.0025
0.506,2.243059231e-05,-0.0002444138694,0.0025
0.507,2.210237263e-05,-0.0002178387736,0.0025
0.508,2.178916438e-05,-0.0001911952324,0.0025
