time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.3315,-0.4111720486,-15,1.45908
0.332,-0.4758012975,-15,1.45261
0.3325,-0.5448947264,-15,1.4457
0.333,-0.6183841486,-15,1.43835
0.3335,-0.6961970387,-15,1.43057
0.334,-0.7782566049,-15,1.42236
0.3345,-0.8644818644,-15,1.41374
0.335,-0.9547877231,-15,1.40471
0.3355,-1.04908506,-15,1.39528
0.336,-1.147280815,-15,1.38546
0.3365,-1.249278081,-15,1.37526
0.337,-1.354976199,-15,1.36468
0.3375,-1.464270858,-15,1.35375
0.338,-1.577054196,-15,1.34247
0.3385,-1.693214911,-15,1.33086
0.339,-1.812638366,-15,1.31891
0.3395,-1.935206704,-15,1.30665
0.34,-2.060798965,-15,1.29409
0.3405,-2.189291205,-15,1.28124
0.341,-2.320556618,-15,1.26811
0.3415,-2.454465659,-15,1.25472
0.342,-2.590886178,-15,1.24108
0.3425,-2.729683543,-15,1.2272
0.343,-2.870720779,-15,1.21309
0.3435,-3.013858699,-15,1.19877
0.344,-3.158956042,-15,1.18426
0.3445,-3.305869616,-15,1.16957
0.345,-3.454454434,-15,1.15471
0.3455,-3.604563861,-15,1.1397
0.346,-3.756049758,-15,1.12454
0.3465,-3.908762625,-15,1.10927
0.347,-4.062551754,-15,1.09389
0.3475,-4.217265373,-15,1.07842
0.348,-4.372750799,-15,1.06287
0.3485,-4.528854586,-15,1.04725
0.349,-4.685422679,-15,1.0316
0.3495,-4.842300565,-15,1.01591
0.35,-4.999333422,-15,1.0002
0.3505,-5.15636628,-15,0.984495
