time,cosFM.phi,sinFM.phi,cosAM.phi,sinAM.phi,sine.phi
0.0212,14.20227677,14.20227677,13.32035285,13.32035285,13.32035285
0.0213,14.27339842,14.27339842,13.3831847,13.3831847,13.3831847
0.0214,14.34455814,14.34455814,13.44601656,13.44601656,13.44601656
0.0215,14.41575592,14.41575592,13.50884841,13.50884841,13.50884841
0.0216,14.48699175,14.48699175,13.57168026,13.57168026,13.57168026
0.0217,14.55826561,14.55826561,13.63451212,13.63451212,13.63451212
0.0218,14.6295775,14.6295775,13.69734397,13.69734397,13.69734397
0.0219,14.70092739,14.70092739,13.76017582,13.76017582,13.76017582
0.022,14.77231527,14.77231527,13.82300768,13.82300768,13.82300768
0.0221,14.84374113,14.84374113,13.88583953,13.88583953,13.88583953
0.0222,14.91520496,14.91520496,13.94867138,13.94867138,13.94867138
0.0223,14.98670674,14.98670674,14.01150324,14.01150324,14.01150324
0.0224,15.05824646,15.05824646,14.07433509,14.07433509,14.07433509
0.0225,15.1298241,15.1298241,14.13716694,14.13716694,14.13716694
0.0226,15.20143965,15.20143965,14.19999879,14.19999879,14.19999879
0.0227,15.27309311,15.27309311,14.26283065,14.26283065,14.26283065
0.0228,15.34478444,15.34478444,14.3256625,14.3256625,14.3256625
0.0229,15.41651365,15.41651365,14.38849435,14.38849435,14.38849435
0.023,15.48828071,15.48828071,14.45132621,14.45132621,14.45132621
0.0231,15.56008561,15.56008561,14.51415806,14.51415806,14.51415806
0.0232,15.63192834,15.63192834,14.57698991,14.57698991,14.57698991
0.0233,15.70380888,15.70380888,14.63982177,14.63982177,14.63982177
0.0234,15.77572722,15.77572722,14.70265362,14.70265362,14.70265362
0.0235,15.84768335,15.84768335,14.76548547,14.76548547,14.76548547
0.0236,15.91967724,15.91967724,14.82831732,14.82831732,14.82831732
0.0237,15.99170889,15.99170889,14.89114918,14.89114918,14.89114918
0.0238,16.06377828,16.06377828,14.95398103,14.95398103,14.95398103
0.0239,16.1358854,16.1358854,15.01681288,15.01681288,15.01681288
0.024,16.20803023,16.20803023,15.07964474,15.07964474,15.07964474
0.0241,16.28021276,16.28021276,15.14247659,15.14247659,15.14247659
0.0242,16.35243297,16.35243297,15.20530844,15.20530844,15.20530844
0.0243,16.42469084,16.42469084,15.2681403,15.2681403,15.2681403
0.0244,16.49698637,16.49698637,15.33097215,15.33097215,15.33097215
0.0245,16.56931954,16.56931954,15.393804,15.393804,15.393804
0.0246,16.64169033,16.64169033,15.45663586,15.45663586,15.45663586
0.0247,16.71409873,16.71409873,15.51946771,15.51946771,15.51946771
0.0248,16.78654472,16.78654472,15.58229956,15.58229956,15.58229956
0.0249,16.85902829,16.85902829,15.64513141,15.64513141,15.64513141
0.025,16.93154942,16.93154942,15.70796327,15.70796327,15.70796327
0.0251,17.00410809,17.00410809,15.77079512,15.77079512,15.77079512
0.0252,17.0767043,17.0767043,15.83362697,15.83362697,15.83362697
0.0253,17.14933802,17.14933802,15.89645883,15.89645883,15.89645883
0.0254,17.22200925,17.22200925,15.95929068,15.95929068,15.95929068
0.0255,17.29471796,17.29471796,16.02212253,16.02212253,16.02212253
0.0256,17.36746414,17.36746414,16.08495439,16.08495439,16.08495439
0.0257,17.44024777,17.44024777,16.14778624,16.14778624,16.14778624
0.0258,17.51306884,17.51306884,16.21061809,16.21061809,16.21061809
0.0259,17.58592734,17.58592734,16.27344995,16.27344995,16.27344995
0.026,17.65882324,17.65882324,16.3362818,16.3362818,16.3362818
0.0261,17.73175653,17.73175653,16.39911365,16.39911365,16.39911365
0.0262,17.8047272,17.8047272,16.4619455,16.4619455,16.4619455
0.0263,17.87773522,17.87773522,16.52477736,16.52477736,16.52477736
0.0264,17.95078059,17.95078059,16.58760921,16.58760921,16.58760921
0.0265,18.02386328,18.02386328,16.65044106,16.65044106,16.65044106
0.0266,18.09698328,18.09698328,16.71327292,16.71327292,16.71327292
0.0267,18.17014058,18.17014058,16.77610477,16.77610477,16.77610477
0.0268,18.24333516,18.24333516,16.83893662,16.83893662,16.83893662
0.0269,18.31656699,18.31656699,16.90176848,16.90176848,16.90176848
0.027,18.38983608,18.38983608,16.96460033,16.96460033,16.96460033
0.0271,18.46314239,18.46314239,17.02743218,17.02743218,17.02743218
0.0272,18.53648591,18.53648591,17.09026404,17.09026404,17.09026404
0.0273,18.60986663,18.60986663,17.15309589,17.15309589,17.15309589
0.0274,18.68328452,18.68328452,17.21592774,17.21592774,17.21592774
0.0275,18.75673958,18.75673958,17.27875959,17.27875959,17.27875959
0.0276,18.83023178,18.83023178,17.34159145,17.34159145,17.34159145
0.0277,18.90376111,18.90376111,17.4044233,17.4044233,17.4044233
0.0278,18.97732755,18.97732755,17.46725515,17.46725515,17.46725515
0.0279,19.05093109,19.05093109,17.53008701,17.53008701,17.53008701
0.028,19.1245717,19.1245717,17.59291886,17.59291886,17.59291886
0.0281,19.19824938,19.19824938,17.65575071,17.65575071,17.65575071
0.0282,19.27196409,19.27196409,17.71858257,17.71858257,17.71858257
0.0283,19.34571584,19.34571584,17.78141442,17.78141442,17.78141442
0.0284,19.41950459,19.41950459,17.84424627,17.84424627,17.84424627
0.0285,19.49333033,19.49333033,17.90707813,17.90707813,17.90707813
0.0286,19.56719305,19.56719305,17.96990998,17.96990998,17.96990998
0.0287,19.64109272,19.64109272,18.03274183,18.03274183,18.03274183
0.0288,19.71502933,19.71502933,18.09557368,18.09557368,18.09557368
0.0289,19.78900286,19.78900286,18.15840554,18.15840554,18.15840554
0.029,19.8630133,19.8630133,18.22123739,18.22123739,18.22123739
0.0291,19.93706062,19.93706062,18.28406924,18.28406924,18.28406924
0.0292,20.01114481,20.01114481,18.3469011,18.3469011,18.3469011
0.0293,20.08526585,20.08526585,18.40973295,18.40973295,18.40973295
0.0294,20.15942372,20.15942372,18.4725648,18.4725648,18.4725648
0.0295,20.23361841,20.23361841,18.53539666,18.53539666,18.53539666
0.0296,20.30784989,20.30784989,18.59822851,18.59822851,18.59822851
0.0297,20.38211815,20.38211815,18.66106036,18.66106036,18.66106036
0.0298,20.45642318,20.45642318,18.72389222,18.72389222,18.72389222
0.0299,20.53076494,20.53076494,18.78672407,18.78672407,18.78672407
0.03,20.60514343,20.60514343,18.84955592,18.84955592,18.84955592
0.0301,20.67955862,20.67955862,18.91238777,18.91238777,18.91238777
0.0302,20.75401051,20.75401051,18.97521963,18.97521963,18.97521963
0.0303,20.82849906,20.82849906,19.03805148,19.03805148,19.03805148
0.0304,20.90302426,20.90302426,19.10088333,19.10088333,19.10088333
0.0305,20.97758609,20.97758609,19.16371519,19.16371519,19.16371519
0.0306,21.05218453,21.05218453,19.22654704,19.22654704,19.22654704
0.0307,21.12681957,21.12681957,19.28937889,19.28937889,19.28937889
0.0308,21.20149119,21.20149119,19.35221075,19.35221075,19.35221075
0.0309,21.27619936,21.27619936,19.4150426,19.4150426,19.4150426
0.031,21.35094407,21.35094407,19.47787445,19.47787445,19.47787445
0.0311,21.4257253,21.4257253,19.54070631,19.54070631,19.54070631
0.0312,21.50054304,21.50054304,19.60353816,19.60353816,19.60353816
0.0313,21.57539725,21.57539725,19.66637001,19.66637001,19.66637001
0.0314,21.65028792,21.65028792,19.72920186,19.72920186,19.72920186
0.0315,21.72521504,21.72521504,19.79203372,19.79203372,19.79203372
0.0316,21.80017858,21.80017858,19.85486557,19.85486557,19.85486557
0.0317,21.87517853,21.87517853,19.91769742,19.91769742,19.91769742
0.0318,21.95021483,21.95021483,19.98052928,19.98052928,19.98052928
0.0319,22.0252875,22.0252875,20.04336113,20.04336113,20.04336113
0.032,22.10039653,22.10039653,20.10619298,20.10619298,20.10619298
0.0321,22.17554188,22.17554188,20.16902484,20.16902484,20.16902484
0.0322,22.25072355,22.25072355,20.23185669,20.23185669,20.23185669
0.0323,22.32594152,22.32594152,20.29468854,20.29468854,20.29468854
0.0324,22.40119576,22.40119576,20.3575204,20.3575204,20.3575204
0.0325,22.47648625,22.47648625,20.42035225,20.42035225,20.42035225
0.0326,22.55181298,22.55181298,20.4831841,20.4831841,20.4831841
0.0327,22.62717592,22.62717592,20.54601595,20.54601595,20.54601595
0.0328,22.70257506,22.70257506,20.60884781,20.60884781,20.60884781
0.0329,22.77801038,22.77801038,20.67167966,20.67167966,20.67167966
0.033,22.85348184,22.85348184,20.73451151,20.73451151,20.73451151
0.0331,22.92898945,22.92898945,20.79734337,20.79734337,20.79734337
0.0332,23.00453316,23.00453316,20.86017522,20.86017522,20.86017522
0.0333,23.08011297,23.08011297,20.92300707,20.92300707,20.92300707
0.0334,23.15572886,23.15572886,20.98583893,20.98583893,20.98583893
0.0335,23.2313808,23.2313808,21.04867078,21.04867078,21.04867078
0.0336,23.30706877,23.30706877,21.11150263,21.11150263,21.11150263
0.0337,23.38279275,23.38279275,21.17433449,21.17433449,21.17433449
0.0338,23.45855273,23.45855273,21.23716634,21.23716634,21.23716634
0.0339,23.53434868,23.53434868,21.29999819,21.29999819,21.29999819
0.034,23.61018058,23.61018058,21.36283004,21.36283004,21.36283004
0.0341,23.68604841,23.68604841,21.4256619,21.4256619,21.4256619
0.0342,23.76195215,23.76195215,21.48849375,21.48849375,21.48849375
0.0343,23.83789178,23.83789178,21.5513256,21.5513256,21.5513256
0.0344,23.91386727,23.91386727,21.61415746,21.61415746,21.61415746
0.0345,23.98987862,23.98987862,21.67698931,21.67698931,21.67698931
0.0346,24.06592579,24.06592579,21.73982116,21.73982116,21.73982116
0.0347,24.14200876,24.14200876,21.80265302,21.80265302,21.80265302
0.0348,24.21812752,24.21812752,21.86548487,21.86548487,21.86548487
0.0349,24.29428205,24.29428205,21.92831672,21.92831672,21.92831672
0.035,24.37047231,24.37047231,21.99114858,21.99114858,21.99114858
0.0351,24.4466983,24.4466983,22.05398043,22.05398043,22.05398043
0.0352,24.52295998,24.52295998,22.11681228,22.11681228,22.11681228
0.0353,24.59925735,24.59925735,22.17964413,22.17964413,22.17964413
0.0354,24.67559037,24.67559037,22.24247599,22.24247599,22.24247599
0.0355,24.75195902,24.75195902,22.30530784,22.30530784,22.30530784
0.0356,24.82836329,24.82836329,22.36813969,22.36813969,22.36813969
0.0357,24.90480316,24.90480316,22.43097155,22.43097155,22.43097155
0.0358,24.98127859,24.98127859,22.4938034,22.4938034,22.4938034
0.0359,25.05778957,25.05778957,22.55663525,22.55663525,22.55663525
0.036,25.13433608,25.13433608,22.61946711,22.61946711,22.61946711
0.0361,25.2109181,25.2109181,22.68229896,22.68229896,22.68229896
0.0362,25.2875356,25.2875356,22.74513081,22.74513081,22.74513081
0.0363,25.36418857,25.36418857,22.80796267,22.80796267,22.80796267
0.0364,25.44087697,25.44087697,22.87079452,22.87079452,22.87079452
0.0365,25.51760079,25.51760079,22.93362637,22.93362637,22.93362637
0.0366,25.59436001,25.59436001,22.99645822,22.99645822,22.99645822
0.0367,25.67115461,25.67115461,23.05929008,23.05929008,23.05929008
0.0368,25.74798455,25.74798455,23.12212193,23.12212193,23.12212193
0.0369,25.82484983,25.82484983,23.18495378,23.18495378,23.18495378
0.037,25.90175042,25.90175042,23.24778564,23.24778564,23.24778564
0.0371,25.97868629,25.97868629,23.31061749,23.31061749,23.31061749
0.0372,26.05565742,26.05565742,23.37344934,23.37344934,23.37344934
0.0373,26.1326638,26.1326638,23.4362812,23.4362812,23.4362812
0.0374,26.20970539,26.20970539,23.49911305,23.49911305,23.49911305
0.0375,26.28678218,26.28678218,23.5619449,23.5619449,23.5619449
0.0376,26.36389415,26.36389415,23.62477675,23.62477675,23.62477675
0.0377,26.44104127,26.44104127,23.68760861,23.68760861,23.68760861
0.0378,26.51822351,26.51822351,23.75044046,23.75044046,23.75044046
0.0379,26.59544086,26.59544086,23.81327231,23.81327231,23.81327231
0.038,26.6726933,26.6726933,23.87610417,23.87610417,23.87610417
0.0381,26.74998079,26.74998079,23.93893602,23.93893602,23.93893602
