time,capacitor2.v,inductor2.i,cosineCurrent.phi,capacitor1.v,inductor1.i,sineCurrent.phi
0.0206,2.677031469,0.2872470753,0.2666332517,0.5209479821,0.2610287802,0.2666332517
0.0207,3.097241714,0.3044698972,0.2692282072,0.5225058859,0.2634829501,0.2692282072
0.0208,3.505368559,0.3242355406,0.2718357291,0.5240967256,0.2659393025,0.2718357291
0.0209,3.89982213,0.3464542317,0.2744558174,0.525725567,0.2683980574,0.2744558174
0.021,4.279087145,0.371028114,0.277088472,0.5273972524,0.2708594607,0.277088472
0.0211,4.641722922,0.3978512476,0.2797336931,0.5291164009,0.2733237839,0.2797336931
0.0212,4.986363373,0.4268096096,0.2823914804,0.5308874081,0.2757913243,0.2823914804
0.0213,5.311717007,0.4577810937,0.2850618342,0.5327144463,0.2782624052,0.2850618342
0.0214,5.616566931,0.4906355106,0.2877447543,0.5346014646,0.2807373753,0.2877447543
0.0215,5.899770845,0.525234588,0.2904402408,0.5365521885,0.2832166094,0.2904402408
0.0216,6.160261049,0.5614319701,0.2931482937,0.5385701204,0.2857005079,0.2931482937
0.0217,6.397041315,0.5990705119,0.2958689129,0.5406585458,0.2881895081,0.2958689129
0.0218,6.609233789,0.637994195,0.2986020985,0.5428203675,0.2906840531,0.2986020985
0.0219,6.796101736,0.6780600348,0.3013478505,0.5450580714,0.2931845276,0.3013478505
0.022,6.956972363,0.7190944767,0.3041061689,0.5473739259,0.2956914276,0.3041061689
0.0221,7.091281946,0.7609242365,0.3068770536,0.5497698533,0.2982052486,0.3068770536
0.0222,7.198575832,0.8033763006,0.3096605047,0.5522474303,0.3007264859,0.3096605047
0.0223,7.278508437,0.846277926,0.3124565221,0.5548078879,0.3032556342,0.3124565221
0.0224,7.330843248,0.8894566399,0.315265106,0.5574521111,0.3057931879,0.315265106
0.0225,7.355452819,0.9327402402,0.3180862562,0.5601806392,0.3083396407,0.3180862562
0.0226,7.352318776,0.9759567954,0.3209199727,0.5629936657,0.3108954862,0.3209199727
0.0227,7.321531814,1.018934644,0.3237662557,0.5658910384,0.3134612175,0.3237662557
0.0228,7.263291699,1.061502396,0.326625105,0.5688722592,0.316037327,0.326625105
0.0229,7.177907264,1.103488931,0.3294965207,0.5719364843,0.3186243071,0.3294965207
0.023,7.065796415,1.144723399,0.3323805027,0.5750825241,0.3212226494,0.3323805027
0.0231,6.927544329,1.185031426,0.3352770512,0.5783086208,0.3238328743,0.3352770512
0.0232,6.763594386,1.224273415,0.338186166,0.5816135236,0.3264553635,0.338186166
0.0233,6.574709072,1.262289802,0.3411078471,0.5849949147,0.3290905798,0.3411078471
0.0234,6.361750888,1.298925965,0.3440420947,0.5884501382,0.3317389741,0.3440420947
0.0235,6.125652486,1.334035493,0.3469889086,0.5919763041,0.3344009706,0.3469889086
0.0236,5.867416669,1.367480192,0.3499482889,0.5955702881,0.3370769669,0.3499482889
0.0237,5.588116393,1.399130076,0.3529202355,0.5992287314,0.3397673341,0.3529202355
