time,dcse.inertiaRotor.w,dcse.friction.phi,dcse.airGapDC.psi_e,dcse.flange.tau,dcse.airGapDC.iaˍt,loadInertia.w,loadInertia.phi,dcse.la.i
0.07772985152,10.37903989,0.3991605454,-0.05161708689,-34.08049566,11862.375,10.37903989,0.3991605454,-103.2341738
0.07823606948,10.48555182,0.4044422198,-0.04797587908,-29.46648083,16847.24056,10.48555182,0.4044422198,-95.95175815
0.07876509492,10.57817616,0.4100147625,-0.04288024554,-23.57461809,21591.0323,10.57817616,0.4100147625,-85.76049108
0.07933013602,10.65300467,0.4160142129,-0.03614113072,-16.79650221,25989.61528,10.65300467,0.4160142129,-72.28226145
0.07992878371,10.70483877,0.4224084839,-0.02777408521,-9.989068728,29751.41356,10.70483877,0.4224084839,-55.54817041
0.0805274314,10.73182448,0.4288260849,-0.01843532043,-4.495391623,32463.99655,10.73182448,0.4288260849,-36.87064086
0.08112607908,10.74081373,0.4352540394,-0.008453568061,-1.078321716,34035.48137,10.74081373,0.4352540394,-16.90713612
0.08172472677,10.74115109,0.4416842768,0.001820588099,-0.2106421277,34412.05473,10.74115109,0.4416842768,3.641176197
0.08232337445,10.74337079,0.4481147472,0.01202635983,-2.010038921,33579.56381,10.74337079,0.4481147472,24.05271966
0.08292202214,10.7577295,0.4545496986,0.02180478968,-6.222564019,31564.50054,10.7577295,0.4545496986,43.60957937
0.08352066983,10.7927755,0.4609990746,0.03081096865,-12.25712807,28434.18782,10.7927755,0.4609990746,61.62193731
0.08411931751,10.85415201,0.4674771179,0.03872614667,-19.26696105,24295.80949,10.85415201,0.4674771179,77.45229334
0.0847179652,10.94380308,0.4740003696,0.04526932837,-26.26750869,19293.87664,10.94380308,0.4740003696,90.53865673
0.08531661288,11.05969696,0.4805853444,0.05020783567,-32.27474266,13605.82275,11.05969696,0.4805853444,100.4156713
0.08591526057,11.19610995,0.4872462077,0.05336625912,-36.44433393,7435.655611,11.19610995,0.4872462077,106.7325182
0.08651390825,11.34443355,0.4939927832,0.05463324426,-38.19143598,1005.906575,11.34443355,0.4939927832,109.2664885
0.08703227085,11.47457047,0.4999071394,0.05416728389,-37.55028006,-4592.370361,11.47457047,0.4999071394,108.3345678
0.08755063344,11.59906992,0.5058877818,0.05226397022,-34.9752462,-10060.72342,11.59906992,0.5058877818,104.5279404
0.08808540965,11.71498082,0.5121223819,0.04885021501,-30.58423475,-15411.52281,11.71498082,0.5121223819,97.70043001
0.08863398868,11.81502375,0.5185773913,0.04392123113,-24.76554205,-20437.85881,11.81502375,0.5185773913,87.84246226
0.0892132369,11.89597109,0.5254459447,0.03731182064,-17.93228796,-25076.16506,11.89597109,0.5254459447,74.62364129
0.08982738287,11.95303547,0.5327708094,0.02897076796,-10.89495913,-29080.84659,11.95303547,0.5327708094,57.94153593
0.09044152885,11.9834519,0.5401222794,0.01956260288,-5.082284124,-32005.65319,11.9834519,0.5401222794,39.12520576
0.09105567482,11.99406544,0.5474859127,0.009435976636,-1.343689497,-33746.28429,11.99406544,0.5474859127,18.87195327
0.0916698208,11.99460769,0.5548524214,-0.001034774656,-0.223679882,-34240.12504,11.99460769,0.5548524214,-2.069549313
0.09228396677,11.99626907,0.5622190229,-0.01146273807,-1.883070316,-33468.13343,11.99626907,0.5622190229,-22.92547613
0.09289811275,12.01005935,0.5695898373,-0.02146200406,-6.075354694,-31456.0162,12.01005935,0.5695898373,-42.92400811
0.09351225872,12.04519244,0.5769752731,-0.03066147555,-12.18188017,-28274.48914,12.04519244,0.5769752731,-61.32295109
0.0941264047,12.10772992,0.5843904884,-0.03871856551,-19.30151019,-24038.21165,12.10772992,0.5843904884,-77.43713103
0.09474055067,12.19968407,0.5918531525,-0.04533230234,-26.38258869,-18902.91968,12.19968407,0.5918531525,-90.66460468
