time,currentSource.pin_p.reference.gamma,inductor.i.im,inductor.i.re
0.535,1.798408076,-3.297822533,-4.46603849
0.536,1.805137374,-3.176455394,-4.420525299
0.537,1.811879238,-3.060679043,-4.373799106
0.538,1.818633668,-2.950222893,-4.32607864
0.539,1.825400665,-2.844875459,-4.277483434
0.54,1.832180228,-2.744348214,-4.228368354
0.541,1.838972358,-2.648400435,-4.178890384
0.542,1.845777054,-2.556847315,-4.129135588
0.543,1.852594316,-2.469457845,-4.079255391
0.544,1.859424145,-2.3859547,-4.02951791
0.545,1.86626654,-2.306206187,-3.979892744
0.546,1.873121502,-2.230060163,-3.93042013
0.547,1.879989029,-2.157216968,-3.881359444
0.548,1.886869124,-2.087561572,-3.832681614
0.549,1.893761784,-2.020987299,-3.78439703
0.55,1.900667011,-1.957290314,-3.736604285
0.551,1.907584804,-1.89626721,-3.6894045
0.552,1.914515164,-1.837848047,-3.642763059
0.553,1.92145809,-1.781946434,-3.596675538
0.554,1.928413583,-1.728319879,-3.551261998
0.555,1.935381641,-1.676916852,-3.506481959
0.556,1.942362267,-1.627630188,-3.462359036
0.557,1.949355458,-1.580390432,-3.418878309
0.558,1.956361216,-1.534989586,-3.376114692
0.559,1.96337954,-1.491400962,-3.334028047
0.56,1.970410431,-1.449555078,-3.292619535
0.561,1.977453888,-1.409380712,-3.251881526
0.562,1.984509911,-1.370705213,-3.211855164
