time,hollowCylinderAxialAir1.Phi.re,hollowCylinderAxialAir1.Phi.im,hollowCylinderAxialAir2.Phi.re,hollowCylinderAxialAir2.Phi.im,constantSource.port_p.reference.gamma
0.554,-0.00303030303,0,-0.00303030303,0,174.044233
0.555,-0.00303030303,0,-0.00303030303,0,174.3583923
0.556,-0.00303030303,0,-0.00303030303,0,174.6725515
0.557,-0.00303030303,0,-0.00303030303,0,174.9867108
0.558,-0.00303030303,0,-0.00303030303,0,175.3008701
0.559,-0.00303030303,0,-0.00303030303,0,175.6150293
0.56,-0.00303030303,0,-0.00303030303,0,175.9291886
0.561,-0.00303030303,0,-0.00303030303,0,176.2433479
0.562,-0.00303030303,0,-0.00303030303,0,176.5575071
0.563,-0.00303030303,0,-0.00303030303,0,176.8716664
0.564,-0.00303030303,0,-0.00303030303,0,177.1858257
0.565,-0.00303030303,0,-0.00303030303,0,177.4999849
0.566,-0.00303030303,0,-0.00303030303,0,177.8141442
0.567,-0.00303030303,0,-0.00303030303,0,178.1283035
0.568,-0.00303030303,0,-0.00303030303,0,178.4424627
0.569,-0.00303030303,0,-0.00303030303,0,178.756622
0.57,-0.00303030303,0,-0.00303030303,0,179.0707813
0.571,-0.00303030303,0,-0.00303030303,0,179.3849405
0.572,-0.00303030303,0,-0.00303030303,0,179.6990998
0.573,-0.00303030303,0,-0.00303030303,0,180.0132591
0.574,-0.00303030303,0,-0.00303030303,0,180.3274183
0.575,-0.00303030303,0,-0.00303030303,0,180.6415776
0.576,-0.00303030303,0,-0.00303030303,0,180.9557368
0.577,-0.00303030303,0,-0.00303030303,0,181.2698961
0.578,-0.00303030303,0,-0.00303030303,0,181.5840554
0.579,-0.00303030303,0,-0.00303030303,0,181.8982146
0.58,-0.00303030303,0,-0.00303030303,0,182.2123739
0.581,-0.00303030303,0,-0.00303030303,0,182.5265332
0.582,-0.00303030303,0,-0.00303030303,0,182.8406924
0.583,-0.00303030303,0,-0.00303030303,0,183.1548517
0.584,-0.00303030303,0,-0.00303030303,0,183.469011
0.585,-0.00303030303,0,-0.00303030303,0,183.7831702
0.586,-0.00303030303,0,-0.00303030303,0,184.0973295
0.587,-0.00303030303,0,-0.00303030303,0,184.4114888
0.588,-0.00303030303,0,-0.00303030303,0,184.725648
0.589,-0.00303030303,0,-0.00303030303,0,185.0398073
0.59,-0.00303030303,0,-0.00303030303,0,185.3539666
0.591,-0.00303030303,0,-0.00303030303,0,185.6681258
0.592,-0.00303030303,0,-0.00303030303,0,185.9822851
0.593,-0.00303030303,0,-0.00303030303,0,186.2964444
0.594,-0.00303030303,0,-0.00303030303,0,186.6106036
0.595,-0.00303030303,0,-0.00303030303,0,186.9247629
0.596,-0.00303030303,0,-0.00303030303,0,187.2389222
0.597,-0.00303030303,0,-0.00303030303,0,187.5530814
0.598,-0.00303030303,0,-0.00303030303,0,187.8672407
0.599,-0.00303030303,0,-0.00303030303,0,188.1814
0.6,-0.00303030303,0,-0.00303030303,0,188.4955592
0.601,-0.00303030303,0,-0.00303030303,0,188.8097185
0.602,-0.00303030303,0,-0.00303030303,0,189.1238777
0.603,-0.00303030303,0,-0.00303030303,0,189.438037
0.604,-0.00303030303,0,-0.00303030303,0,189.7521963
0.605,-0.00303030303,0,-0.00303030303,0,190.0663555
0.606,-0.00303030303,0,-0.00303030303,0,190.3805148
0.607,-0.00303030303,0,-0.00303030303,0,190.6946741
0.608,-0.00303030303,0,-0.00303030303,0,191.0088333
0.609,-0.00303030303,0,-0.00303030303,0,191.3229926
0.61,-0.00303030303,0,-0.00303030303,0,191.6371519
0.611,-0.00303030303,0,-0.00303030303,0,191.9513111
0.612,-0.00303030303,0,-0.00303030303,0,192.2654704
0.613,-0.00303030303,0,-0.00303030303,0,192.5796297
0.614,-0.00303030303,0,-0.00303030303,0,192.8937889
0.615,-0.00303030303,0,-0.00303030303,0,193.2079482
