time,energy.y,superCap.capacitor.v
140.38,-133198.8153,41.98764386
140.39,-133198.8153,41.98764298
140.4,-133198.8153,41.98764211
140.41,-133198.8153,41.98764123
140.42,-133198.8153,41.98764036
140.43,-133198.8153,41.98763948
140.44,-133198.8153,41.98763861
140.45,-133198.8153,41.98763773
140.46,-133198.8153,41.98763686
140.47,-133198.8153,41.98763598
140.48,-133198.8153,41.98763511
140.49,-133198.8153,41.98763423
140.5,-133198.8153,41.98763336
140.51,-133198.8153,41.98763248
140.52,-133198.8153,41.98763161
140.53,-133198.8153,41.98763073
140.54,-133198.8153,41.98762986
140.55,-133198.8153,41.98762899
140.56,-133198.8153,41.98762811
140.57,-133198.8153,41.98762724
140.58,-133198.8153,41.98762636
140.59,-133198.8153,41.98762549
140.6,-133198.8153,41.98762461
140.61,-133198.8153,41.98762374
140.62,-133198.8153,41.98762286
140.63,-133198.8153,41.98762199
140.64,-133198.8153,41.98762111
140.65,-133198.8153,41.98762024
140.66,-133198.8153,41.98761936
140.67,-133198.8153,41.98761849
140.68,-133198.8153,41.98761761
140.69,-133198.8153,41.98761674
140.7,-133198.8153,41.98761586
140.71,-133198.8153,41.98761499
140.72,-133198.8153,41.98761411
140.73,-133198.8153,41.98761324
140.74,-133198.8153,41.98761237
140.75,-133198.8153,41.98761149
140.76,-133198.8153,41.98761062
140.77,-133198.8153,41.98760974
140.78,-133198.8153,41.98760887
140.79,-133198.8153,41.98760799
140.8,-133198.8153,41.98760712
140.81,-133198.8153,41.98760624
140.82,-133198.8153,41.98760537
140.83,-133198.8153,41.98760449
140.84,-133198.8153,41.98760362
140.85,-133198.8153,41.98760274
140.86,-133198.8153,41.98760187
140.87,-133198.8153,41.98760099
140.88,-133198.8153,41.98760012
140.89,-133198.8153,41.98759924
140.9,-133198.8153,41.98759837
140.91,-133198.8153,41.98759749
140.92,-133198.8153,41.98759662
140.93,-133198.8153,41.98759574
140.94,-133198.8153,41.98759487
140.95,-133198.8153,41.987594
140.96,-133198.8153,41.98759312
140.97,-133198.8153,41.98759225
140.98,-133198.8153,41.98759137
140.99,-133198.8153,41.9875905
141,-133198.8153,41.98758962
141.01,-133198.8153,41.98758875
141.02,-133198.8153,41.98758787
141.03,-133198.8153,41.987587
141.04,-133198.8153,41.98758612
141.05,-133198.8153,41.98758525
141.06,-133198.8153,41.98758437
141.07,-133198.8153,41.9875835
141.08,-133198.8153,41.98758262
141.09,-133198.8153,41.98758175
141.1,-133198.8153,41.98758087
141.11,-133198.8153,41.98758
141.12,-133198.8153,41.98757912
141.13,-133198.8153,41.98757825
141.14,-133198.8153,41.98757738
141.15,-133198.8153,41.9875765
141.16,-133198.8153,41.98757563
141.17,-133198.8153,41.98757475
141.18,-133198.8153,41.98757388
141.19,-133198.8153,41.987573
141.2,-133198.8153,41.98757213
141.21,-133198.8153,41.98757125
141.22,-133198.8153,41.98757038
