time,currentSensor1.i_ref,currentSensor1.i_sim,currentSensor1.i_relerr,currentSensor2.i_ref,currentSensor2.i_sim,currentSensor2.i_relerr,integrator1.y_ref,integrator1.y_sim,integrator1.y_relerr,der1.y_ref,der1.y_sim,der1.y_relerr,integrator2.y_ref,integrator2.y_sim,integrator2.y_relerr,der2.y_ref,der2.y_sim,der2.y_relerr
1.35e-05,59922.832,2808.169612,0.571147,666.04926,5.178719995e-09,0.00666049,0.11992645,0.004933280673,0.00267537,1.071219e+10,793565063.8,0.38673,0.00039128045,3.021557665e-15,9.12961e-06,944078910,0.007396610844,0.0673692
1.36e-05,60980.711,2887.500568,0.580932,765.89984,5.961857961e-09,0.007659,0.12597181,0.005218064953,0.00280939,1.0446467e+10,793066944,0.376389,0.0004628757,3.577485905e-15,1.08001e-05,1054401200,0.008278561707,0.0752418
1.37e-05,62012.344,2966.779274,0.590456,877.22949,6.836985427e-09,0.0087723,0.13212167,0.005510779372,0.00294566,1.0187205e+10,792569074.7,0.3663,0.00054496987,4.215933944e-15,1.27156e-05,1173723900,0.009237109209,0.0837567
1.38e-05,63018.363,3046.005778,0.599724,1000.9572,7.811976528e-09,0.0100096,0.1383734,0.005811418729,0.00308412,9934244900,792071454.1,0.356456,0.00063880184,4.946628383e-15,1.49049e-05,1302422900,0.01027656239,0.0929406
1.39e-05,63999.395,3125.180548,0.608742,1138.0387,8.895142187e-09,0.0113804,0.14472447,0.00611997794,0.0032247,9687435300,791574077.7,0.346852,0.00074568496,5.780164867e-15,1.73988e-05,1440859600,0.01140134794,0.102819
1.4e-05,64956.051,3204.304469,0.617518,1289.4652,1.009524188e-08,0.0128947,0.15117243,0.006436452038,0.00336735,9446625300,791076938.5,0.337483,0.00086696871,6.728008081e-15,2.02287e-05,1589377400,0.0126160102,0.113418
1.41e-05,65888.914,3283.378849,0.626055,1456.261,1.142149538e-08,0.0145626,0.15771487,0.006760836172,0.00351202,9211669500,790580026.2,0.328341,0.0010041343,7.802491748e-15,2.34291e-05,1748297500,0.0139252111,0.124758
1.42e-05,66798.57,3362.405413,0.634362,1639.4813,1.288359457e-08,0.0163948,0.16434944,0.007093125609,0.00365864,8982425600,790083328.2,0.319422,0.0011587825,9.016818636e-15,2.70375e-05,1917915100,0.01533373019,0.136862
1.43e-05,67685.586,3441.386305,0.642442,1840.2095,1.449171513e-08,0.0184021,0.17107382,0.007433315731,0.00380717,8758755300,789586828.8,0.31072,0.0013326083,1.038506055e-14,3.10933e-05,2098494700,0.01684646456,0.149748
1.44e-05,68550.508,3520.324091,0.650302,2059.5532,1.625652835e-08,0.0205955,0.17788582,0.007781402039,0.00395756,8540523000,789090509.6,0.302231,0.0015274258,1.192215834e-14,3.56389e-05,2290265300,0.01846842886,0.163433
