time,basicTransformer.i1,basicTransformer.i2,inductor21.iˍt,idealTransformer.p2.i,basicTransformer.i1ˍt,inductor22.i
2.216685418,1.43162727,-0.2827810571,-4.989054628,-0.3094867778,-4.102007197,0.3094867778
2.220526187,1.414172599,-0.2416748493,-5.695951667,-0.2682479508,-4.937838999,0.2682479508
2.224597979,1.392841049,-0.193621315,-6.084298802,-0.2200179719,-5.476859732,0.2200179719
2.229159583,1.367350719,-0.1381174118,-6.048703243,-0.1642899937,-5.615240837,0.1642899937
2.234316078,1.339276909,-0.07873641546,-5.416028237,-0.104649132,-5.16862417,0.104649132
2.238508704,1.319164061,-0.0371935305,-4.481260501,-0.0629115438,-4.363964119,0.0629115438
2.242706373,1.303140789,-0.00477326966,-3.235632846,-0.03032910684,-3.219811482,0.03032910684
2.246904042,1.292496315,0.01623075953,-1.766226229,-0.009209945604,-1.81606826,0.009209945604
2.250600045,1.288295363,0.02410020737,-0.367733419,-0.001286920051,-0.4420761772,0.001286920051
2.253863781,1.288903549,0.02239677169,0.8860971383,-0.002984542025,0.8172432783,0.002984542025
2.257127518,1.293616828,0.01264247761,2.102808399,-0.01277375516,2.064675002,0.01277375516
2.26051794,1.302724875,-0.005572751323,3.272772117,-0.03106834765,3.291874956,0.03106834765
2.263949503,1.315978265,-0.03155811158,4.306070203,-0.05717672492,4.406748931,0.05717672492
2.267529637,1.333559675,-0.06546096086,5.170929869,-0.09124932874,5.377982261,0.09124932874
2.271280265,1.355237364,-0.1065726982,5.796939321,-0.1325770581,6.132933574,0.1325770581
2.27531701,1.38106167,-0.1546405667,6.112053951,-0.1809099326,6.598757368,0.1809099326
2.279976279,1.412138388,-0.2111017461,5.989513156,-0.2377006043,6.653182785,0.2377006043
2.284738476,1.442884506,-0.2651124753,5.33790862,-0.2920504389,6.170800161,0.2920504389
2.289500673,1.470114182,-0.3106177809,4.211949505,-0.3378717004,5.187345544,0.3378717004
2.29426287,1.491632852,-0.3435693857,2.711694564,-0.3710924718,3.790200044,0.3710924718
2.29848556,1.504564102,-0.3598959012,1.175102584,-0.3876027126,2.304600947,0.3876027126
2.302103867,1.510430766,-0.363290296,-0.2112691604,-0.3911055076,0.9287034838,0.3911055076
2.305722174,1.511260269,-0.3566971844,-1.5867941,-0.3845716117,-0.467652476,0.3845716117
2.30934048,1.507108876,-0.3404538475,-2.880659638,-0.3683372093,-1.81258854,0.3683372093
2.312964459,1.49827197,-0.3153486862,-4.027924056,-0.3431920925,-3.038683948,0.3431920925
2.316685003,1.484912581,-0.2817352142,-4.988961686,-0.3094909209,-4.105200205,0.3094909209
2.320526271,1.467443122,-0.2406241749,-5.695963603,-0.2682469973,-4.941152041,0.2682469973
2.324598421,1.446096139,-0.192566502,-6.084319674,-0.2200125977,-5.480194682,0.2200125977
2.329160518,1.420587939,-0.1370569886,-6.048644577,-0.1642786862,-5.618513822,0.1642786862
2.334317043,1.392497393,-0.07767717969,-5.415854026,-0.1046386771,-5.171777872,0.1046386771
2.33850998,1.372370149,-0.03613359287,-4.480925037,-0.06290010706,-4.366958747,0.06290010706
2.342707743,1.356334208,-0.003716167163,-3.235184605,-0.03032024188,-3.222684431,0.03032024188
2.346905506,1.345677662,0.01728391038,-1.765686257,-0.00920477527,-1.818837079,0.00920477527
2.350602001,1.341466335,0.02514940052,-0.3669812943,-0.001285482726,-0.4446204099,0.001285482726
2.353865594,1.342066124,0.02344112554,0.8867880649,-0.002987755753,0.8146530108,0.002987755753
2.357129188,1.346770628,0.01368283182,2.103412442,-0.01278077723,2.062010379,0.01278077723
2.360519898,1.355870519,-0.004538384773,3.273409973,-0.03108116742,3.28926292,0.03108116742
2.363953259,1.369122719,-0.03054339895,4.30709991,-0.05720907469,4.404590402,0.05720907469
2.367532515,1.386691281,-0.06444389585,5.171525191,-0.0912790891,5.375381922,0.0912790891
2.371283788,1.40836276,-0.105566885,5.797380658,-0.1326178937,6.130214503,0.1326178937
2.37532061,1.434175951,-0.153638158,6.112161576,-0.1809539403,6.595715219,0.1809539403
2.379980952,1.46524469,-0.2101115265,5.98912889,-0.2377565877,6.649686896,0.2377565877
2.384741598,1.495963341,-0.2641000329,5.337317009,-0.292083773,6.167027246,0.292083773
2.389502245,1.523166264,-0.3095856698,4.211509717,-0.337884938,5.18366282,0.337884938
2.394262891,1.544661228,-0.3425245526,2.711687608,-0.3710925826,3.786910328,0.3710925826
2.398484879,1.55757697,-0.3588496544,1.175360252,-0.3876011106,2.301571458,0.3876011106
2.402102909,1.563432441,-0.3622462869,-0.2109003123,-0.391105912,0.9257922033,0.391105912
2.405720939,1.56425154,-0.3556569121,-1.586334675,-0.3845755296,-0.4704614536,0.3845755296
2.409338969,1.560090441,-0.3394185797,-2.880145706,-0.368345916,-1.815327316,0.368345916
2.412963936,1.551240496,-0.3143091558,-4.027772237,-0.3431963049,-3.04179824,0.3431963049
2.41668476,1.537868316,-0.2806941426,-4.988907201,-0.3094933497,-4.108416672,0.3094933497
2.420526562,1.520383824,-0.2395776218,-5.696005124,-0.2682436777,-4.944481706,0.2682436777
2.424599111,1.499021154,-0.1915151585,-6.084352261,-0.2200042039,-5.483530425,0.2200042039
2.42916177,1.47349475,-0.1359992188,-6.048565962,-0.1642635404,-5.621758493,0.1642635404
2.434318178,1.445388481,-0.07662259179,-5.415649227,-0.1046263881,-5.174886366,0.1046263881
2.43851145,1.425246951,-0.03507839217,-4.480538368,-0.06288692687,-4.369887268,0.06288692687
2.442709273,1.409198758,-0.002664502957,-3.234683811,-0.03031033952,-3.225487726,0.03031033952
2.446907096,1.398530514,0.01833103474,-1.765099632,-0.009199160163,-1.821540301,0.009199160163
