time,spring.w_rel_ref,spring.w_rel_sim,spring.w_rel_relerr
2.5416,4.373740344e-09,-1.442501674e-11,9.77479e-07
2.5424,4.440006338e-09,-1.222244528e-11,9.91749e-07
2.5432,4.504099268e-09,-1.007471884e-11,1.00555e-06
2.544,4.565974731e-09,-7.981948436e-12,1.01886e-06
2.5448,4.625588326e-09,-5.942690784e-12,1.03169e-06
2.5456,4.682895652e-09,-3.956723837e-12,1.04401e-06
2.5464,4.737852305e-09,-2.023381462e-12,1.05582e-06
2.5472,4.790413884e-09,-1.421085472e-13,1.06711e-06
2.548,4.840535988e-09,1.687872064e-12,1.07787e-06
2.5488,4.888174214e-09,3.466893439e-12,1.08808e-06
2.5496,4.933284161e-09,5.195732733e-12,1.09775e-06
2.5504,4.975821426e-09,6.875167102e-12,1.10685e-06
2.5512,5.015741609e-09,8.505418592e-12,1.11538e-06
2.552,5.053000307e-09,1.008737538e-11,1.12333e-06
2.5528,5.087553118e-09,1.162159258e-11,1.13068e-06
2.5536,5.11935564e-09,1.310851427e-11,1.13743e-06
2.5544,5.148363471e-09,1.454902865e-11,1.14357e-06
2.5552,5.174532211e-09,1.59431357e-11,1.14909e-06
2.556,5.197817456e-09,1.729205668e-11,1.15398e-06
2.5568,5.218174805e-09,1.859612464e-11,1.15822e-06
2.5576,5.235559856e-09,1.985578368e-11,1.16182e-06
2.5584,5.249928208e-09,2.107169994e-11,1.16475e-06
2.5592,5.261235457e-09,2.224465057e-11,1.167e-06
2.56,5.269437204e-09,2.337496863e-11,1.16858e-06
2.5608,5.274489045e-09,2.446309821e-11,1.16946e-06
2.5616,5.276346578e-09,2.55099275e-11,1.16964e-06
2.5624,5.274965403e-09,2.651590059e-11,1.16911e-06
2.5632,5.270301117e-09,2.748146155e-11,1.16786e-06
2.564,5.262309318e-09,2.840716551e-11,1.16587e-06
2.5648,5.250945604e-09,2.929378962e-11,1.16314e-06
2.5656,5.236165574e-09,3.014166694e-11,1.15966e-06
2.5664,5.217924825e-09,3.095135259e-11,1.15542e-06
2.5672,5.196178957e-09,3.172351271e-11,1.1504e-06
2.568,5.170883566e-09,3.245859137e-11,1.1446e-06
2.5688,5.141994251e-09,3.315703268e-11,1.13801e-06
2.5696,5.109466611e-09,3.381961378e-11,1.13062e-06
2.5704,5.073256243e-09,3.444666774e-11,1.12241e-06
2.5712,5.033318746e-09,3.503874968e-11,1.11338e-06
2.572,4.989609717e-09,3.559652573e-11,1.10352e-06
2.5728,4.942084755e-09,3.612032895e-11,1.09282e-06
2.5736,4.890699458e-09,3.661082548e-11,1.08126e-06
2.5744,4.835409424e-09,3.706834839e-11,1.06885e-06
2.5752,4.776170251e-09,3.749356381e-11,1.05556e-06
2.576,4.712937538e-09,3.788691583e-11,1.04138e-06
2.5768,4.645666882e-09,3.824907058e-11,1.02632e-06
2.5776,4.574313882e-09,3.858013908e-11,1.01035e-06
2.5784,4.498834136e-09,3.888100952e-11,9.93469e-07
2.5792,4.419183241e-09,3.915212599e-11,9.75667e-07
2.58,4.335316797e-09,3.939393256e-11,9.56931e-07
2.5808,4.247190401e-09,3.960676231e-11,9.37253e-07
2.5816,4.154759652e-09,3.979128138e-11,9.16623e-07
2.5824,4.057980147e-09,3.994782283e-11,8.9503e-07
2.5832,3.956807484e-09,4.007716381e-11,8.72465e-07
2.584,3.851197263e-09,4.017941535e-11,8.48917e-07
2.5848,3.74110508e-09,4.025524358e-11,8.24377e-07
2.5856,3.626486535e-09,4.030520362e-11,7.98834e-07
2.5864,3.507297224e-09,4.032973955e-11,7.72279e-07
2.5872,3.383492748e-09,4.032918444e-11,7.44701e-07
2.588,3.255028702e-09,4.030398237e-11,7.16091e-07
2.5888,3.146805241e-09,4.025491052e-11,6.91994e-07
2.5896,3.114332616e-09,4.018185784e-11,6.84777e-07
2.5904,3.081217023e-09,4.008582355e-11,6.77422e-07
2.5912,3.047472501e-09,3.996714071e-11,6.69932e-07
2.592,3.013113091e-09,3.982614238e-11,6.6231e-07
2.5928,2.978152836e-09,3.966327267e-11,6.54558e-07
2.5936,2.942605776e-09,3.947897564e-11,6.46681e-07
2.5944,2.906485952e-09,3.927391745e-11,6.38681e-07
2.5952,2.869807406e-09,3.904809809e-11,6.30561e-07
2.596,2.832584178e-09,3.880240573e-11,6.22324e-07
2.5968,2.794830311e-09,3.853695141e-11,6.13974e-07
2.5976,2.756559844e-09,3.825229022e-11,6.05512e-07
2.5984,2.71778682e-09,3.794908832e-11,5.96943e-07
2.5992,2.67852528e-09,3.762734568e-11,5.88269e-07
2.6,2.638789264e-09,3.728783948e-11,5.79493e-07
2.6008,2.598592813e-09,3.693068074e-11,5.70619e-07
2.6016,2.55794997e-09,3.655631353e-11,5.61649e-07
2.6024,2.516874775e-09,3.6165404e-11,5.52586e-07
2.6032,2.47538127e-09,3.575828522e-11,5.43434e-07
2.604,2.433483495e-09,3.533529025e-11,5.34196e-07
2.6048,2.391195491e-09,3.489664113e-11,5.24873e-07
2.6056,2.348531301e-09,3.4443004e-11,5.15471e-07
2.6064,2.305504965e-09,3.397482295e-11,5.05991e-07
2.6072,2.262130524e-09,3.349220901e-11,4.96437e-07
2.608,2.21842202e-09,3.299571727e-11,4.86811e-07
2.6088,2.174393493e-09,3.248601388e-11,4.77117e-07
2.6096,2.130058985e-09,3.196287679e-11,4.67358e-07
2.6104,2.085432537e-09,3.142719418e-11,4.57537e-07
2.6112,2.04052819e-09,3.08791881e-11,4.47656e-07
2.612,1.995359986e-09,3.031908058e-11,4.37719e-07
2.6128,1.949941965e-09,2.974753777e-11,4.2773e-07
2.6136,1.904288169e-09,2.91647817e-11,4.1769e-07
2.6144,1.858412639e-09,2.857125647e-11,4.07603e-07
2.6152,1.812329416e-09,2.796696208e-11,3.97473e-07
2.616,1.766052541e-09,2.735267568e-11,3.87301e-07
2.6168,1.719596056e-09,2.67285083e-11,3.77092e-07
2.6176,1.672974002e-09,2.609523708e-11,3.66848e-07
2.6184,1.626200419e-09,2.545264e-11,3.56572e-07
2.6192,1.57928935e-09,2.480160521e-11,3.46267e-07
2.62,1.532254834e-09,2.414202172e-11,3.35937e-07
2.6208,1.485110914e-09,2.347455563e-11,3.25584e-07
2.6216,1.437871631e-09,2.279931799e-11,3.15212e-07
2.6224,1.390551025e-09,2.21168639e-11,3.04823e-07
2.6232,1.343163139e-09,2.142730438e-11,2.94421e-07
