time,currentToVoltageAdaptor2a.f,inductor1.i,capacitor2.v,capacitor1.v,inductor2.i
0.8418672426,0.594220459,0.8043046733,0.8043046733,0.594220459,0.594220459
0.8477365917,0.0493348035,0.9987806945,0.9987806945,0.0493348035,0.0493348035
0.8536059407,-0.5120626494,0.8589477456,0.8589477456,-0.5120626494,-0.5120626494
0.8610237263,-0.9578412763,0.2873318347,0.2873318347,-0.9578412763,-0.9578412763
0.8665430573,-0.9662697247,-0.2575594434,-0.2575594434,-0.9662697247,-0.9662697247
0.8721039336,-0.6847183356,-0.7288111074,-0.7288111074,-0.6847183356,-0.6847183356
0.8776816679,-0.1951771879,-0.9807670442,-0.9807670442,-0.1951771879,-0.1951771879
0.8832594022,0.3535267813,-0.9354234483,-0.9354234483,0.3535267813,0.3535267813
0.8891136989,0.8115341245,-0.5843085112,-0.5843085112,0.8115341245,0.8115341245
0.8950860424,0.9996455388,-0.02679143097,-0.02679143097,0.9996455388,0.9996455388
0.9010583858,0.8416678839,0.5400009832,0.5400009832,0.8416678839,0.8416678839
0.9070307293,0.3922949259,0.9198385293,0.9198385293,0.3922949259,0.3922949259
0.9130030727,-0.1928950962,0.9812170027,0.9812170027,-0.1928950962,-0.1928950962
0.9189754162,-0.7113024816,0.7028864958,0.7028864958,-0.7113024816,-0.7113024816
0.9258279863,-0.9955738293,0.09405629329,0.09405629329,-0.9955738293,-0.9955738293
0.9313460231,-0.897116193,-0.4418044482,-0.4418044482,-0.897116193,-0.897116193
0.9370070675,-0.5201997308,-0.8540451767,-0.8540451767,-0.5201997308,-0.5201997308
0.942668112,0.01902191775,-0.9998174478,-0.9998174478,0.01902191775,0.01902191775
0.9483291564,0.5523080374,-0.8336396804,-0.8336396804,0.5523080374,0.5523080374
0.9562179265,0.9807109914,-0.1955320708,-0.1955320708,0.9807109914,0.9807109914
0.9614332303,0.947744401,0.3190573253,0.3190573253,0.947744401,0.947744401
0.967120416,0.6267284113,0.7792416036,0.7792416036,0.6267284113,0.6267284113
0.9728076018,0.1084093113,0.9941060441,0.9941060441,0.1084093113,0.1084093113
0.9784947876,-0.4440375011,0.8960085541,0.8960085541,-0.4440375011,-0.4440375011
0.9850549257,-0.8984048469,0.4391801229,0.4391801229,-0.8984048469,-0.8984048469
0.9916150639,-0.9798097169,-0.1999685499,-0.1999685499,-0.9798097169,-0.9798097169
0.998175202,-0.6544572818,-0.7561020221,-0.7561020221,-0.6544572818,-0.6544572818
1,-0.5063796142,-0.862311542,-0.862311542,-0.5063796142,-0.5063796142
