time,dcpm1.flange.tau,dcpm2.friction.phi,dcpm2.inertiaRotor.w,dcpm2.brush.n.i,dcpm2.airGapDC.ia,dcpm1.friction.phi,dcpm1.inertiaRotor.w,dcpm2.flange.tau,dcpm1.airGapDC.ia,dcpm1.la.i,dcpm2.la.i,loadInertia1.w,loadInertia2.w,loadInertia2.phi,loadInertia1.phi
1.440198643,-63.65631701,119.9283413,148.4392298,-99.98079892,97.86437495,120.8960149,149.2242559,-61.29558699,99.98719352,99.98719352,97.86437495,149.2242559,148.4392298,119.9283413,120.8960149
1.478306581,-63.66311477,125.5850533,148.4394767,-100.0038952,97.88749708,126.5826467,149.2246816,-61.30296972,100.0079788,100.0079788,97.88749708,149.2246816,148.4394767,125.5850533,126.5826467
1.519570585,-63.66263213,131.7102815,148.4404558,-100.0024434,97.88604364,132.7402764,149.2256755,-61.30291074,100.0051304,100.0051304,97.88604364,149.2256755,148.4404558,131.7102815,132.7402764
1.571721778,-63.66030853,139.451644,148.4408944,-99.99459468,97.87818616,140.5225874,149.2260585,-61.30061474,99.9973174,99.9973174,97.87818616,149.2260585,148.4408944,139.451644,140.5225874
1.623872971,-63.6598385,147.1930116,148.4407887,-99.99290847,97.87649806,148.3049017,149.2259336,-61.30004003,99.99600814,99.99600814,97.87649806,149.2259336,148.4407887,147.1930116,148.3049017
1.687969264,-63.66015808,156.7075122,148.4406984,-99.99396648,97.87755725,157.8697273,149.2258511,-61.30033681,99.99712261,99.99712261,97.87755725,149.2258511,148.4406984,156.7075122,157.8697273
1.763634158,-63.66021778,167.9392622,148.4407137,-99.99419234,97.87778336,169.1608861,149.2258696,-61.30041428,99.99728548,99.99728548,97.87778336,149.2258696,148.4407137,167.9392622,169.1608861
1.860090069,-63.66018378,182.2572469,148.4407182,-99.99407514,97.87766603,183.5546036,149.2258727,-61.30037915,99.99717442,99.99717442,97.87766603,149.2258727,148.4407182,182.2572469,183.5546036
1.974652062,-63.66018882,199.2629114,148.4407169,-99.99409165,97.87768256,200.650217,149.2258716,-61.30038382,99.99719175,99.99719175,97.87768256,149.2258716,148.4407169,199.2629114,200.650217
2,-63.66018871,203.0255775,148.440717,-99.99409144,97.87768235,204.432785,149.2258717,-61.30038379,99.9971913,99.9971913,97.87768235,149.2258717,148.440717,203.0255775,204.432785
