time,pump.flowPort_a.h,pump.flowPort_b.h,ambient2.flowPort.h,pipe.flowPort_b.H_flow,pump.h,heatCapacitor.T,pipe.T
0.277,293.15,293.15,299.6642722,-184.2912839,293.15,306.698171,299.6642722
0.278,293.15,293.15,299.6946161,-182.811469,293.15,306.7278352,299.6946161
0.279,293.15,293.15,299.725094,-181.331631,293.15,306.7575071,299.725094
0.28,293.15,293.15,299.7557068,-179.851808,293.15,306.7871879,299.7557068
0.281,293.15,293.15,299.7864554,-178.372041,293.15,306.816879,299.7864554
0.282,293.15,293.15,299.8173495,-176.892159,293.15,306.8465798,299.8173495
0.283,293.15,293.15,299.8484258,-175.4110189,293.15,306.8762845,299.8484258
0.284,293.15,293.15,299.8796328,-173.9296854,293.15,306.9060057,299.8796328
0.285,293.15,293.15,299.9109721,-172.4481548,293.15,306.9357445,299.9109721
0.286,293.15,293.15,299.9424453,-170.9664232,293.15,306.9655018,299.9424453
0.287,293.15,293.15,299.9740539,-169.4844871,293.15,306.9952786,299.9740539
0.288,293.15,293.15,300.0057995,-168.0023427,293.15,307.0250759,300.0057995
0.289,293.15,293.15,300.0376837,-166.5199863,293.15,307.0548948,300.0376837
0.29,293.15,293.15,300.0697079,-165.0374145,293.15,307.0847361,300.0697079
0.291,293.15,293.15,300.1018739,-163.5546236,293.15,307.1146011,300.1018739
0.292,293.15,293.15,300.1341831,-162.0716102,293.15,307.1444907,300.1341831
0.293,293.15,293.15,300.1666372,-160.5883708,293.15,307.1744059,300.1666372
0.294,293.15,293.15,300.1992378,-159.1049019,293.15,307.2043478,300.1992378
0.295,293.15,293.15,300.2319864,-157.6212001,293.15,307.2343175,300.2319864
0.296,293.15,293.15,300.2648847,-156.1372621,293.15,307.2643161,300.2648847
0.297,293.15,293.15,300.2979342,-154.6530845,293.15,307.2943447,300.2979342
0.298,293.15,293.15,300.3311366,-153.1686641,293.15,307.3244043,300.3311366
0.299,293.15,293.15,300.3644936,-151.6839977,293.15,307.354496,300.3644936
0.3,293.15,293.15,300.3980066,-150.1990819,293.15,307.3846211,300.3980066
0.301,293.15,293.15,300.4316775,-148.7139137,293.15,307.4147805,300.4316775
0.302,293.15,293.15,300.4655077,-147.22849,293.15,307.4449755,300.4655077
0.303,293.15,293.15,300.499499,-145.7428076,293.15,307.4752072,300.499499
0.304,293.15,293.15,300.533653,-144.2568634,293.15,307.5054768,300.533653
0.305,293.15,293.15,300.5679713,-142.7706546,293.15,307.5357854,300.5679713
0.306,293.15,293.15,300.6024556,-141.284178,293.15,307.5661342,300.6024556
0.307,293.15,293.15,300.6371076,-139.7974308,293.15,307.5965244,300.6371076
0.308,293.15,293.15,300.671929,-138.3104101,293.15,307.6269572,300.671929
0.309,293.15,293.15,300.7069214,-136.8231129,293.15,307.6574337,300.7069214
0.31,293.15,293.15,300.7420865,-135.3355366,293.15,307.6879553,300.7420865
0.311,293.15,293.15,300.777426,-133.8476782,293.15,307.7185232,300.777426
0.312,293.15,293.15,300.8129415,-132.3595351,293.15,307.7491385,300.8129415
0.313,293.15,293.15,300.8486349,-130.8711046,293.15,307.7798026,300.8486349
0.314,293.15,293.15,300.8845077,-129.382384,293.15,307.8105167,300.8845077
0.315,293.15,293.15,300.9205617,-127.8933706,293.15,307.841282,300.9205617
0.316,293.15,293.15,300.9567987,-126.4040618,293.15,307.8720999,300.9567987
0.317,293.15,293.15,300.9932203,-124.9144552,293.15,307.9029716,300.9932203
0.318,293.15,293.15,301.0298282,-123.4245482,293.15,307.9338985,301.0298282
0.319,293.15,293.15,301.0666243,-121.9343383,293.15,307.9648817,301.0666243
0.32,293.15,293.15,301.1036102,-120.4438231,293.15,307.9959228,301.1036102
0.321,293.15,293.15,301.1407876,-118.9530002,293.15,308.0270229,301.1407876
0.322,293.15,293.15,301.1781584,-117.4618673,293.15,308.0581834,301.1781584
0.323,293.15,293.15,301.2157242,-115.9704219,293.15,308.0894057,301.2157242
0.324,293.15,293.15,301.2534869,-114.4786619,293.15,308.1206911,301.2534869
0.325,293.15,293.15,301.2914482,-112.986585,293.15,308.152041,301.2914482
0.326,293.15,293.15,301.3296099,-111.4941889,293.15,308.1834568,301.3296099
0.327,293.15,293.15,301.3679737,-110.0014716,293.15,308.2149399,301.3679737
0.328,293.15,293.15,301.4065415,-108.5084308,293.15,308.2464916,301.4065415
0.329,293.15,293.15,301.4453149,-107.0150646,293.15,308.2781133,301.4453149
0.33,293.15,293.15,301.4842959,-105.5213708,293.15,308.3098066,301.4842959
0.331,293.15,293.15,301.5234862,-104.0273474,293.15,308.3415727,301.5234862
0.332,293.15,293.15,301.5628876,-102.5329925,293.15,308.3734132,301.5628876
0.333,293.15,293.15,301.602502,-101.0383041,293.15,308.4053295,301.602502
0.334,293.15,293.15,301.6423311,-99.54328033,293.15,308.4373231,301.6423311
