time,SaturatingInductance1.i,Inductance1.i,SaturatingInductance1.Psi
5.15,-1.230575635,-1.132208425,-1.132208425
5.16,-1.221013341,-1.126854761,-1.126854761
5.17,-1.211264871,-1.121388408,-1.121388408
5.18,-1.201332804,-1.11580991,-1.11580991
5.19,-1.19121984,-1.110119825,-1.110119825
5.2,-1.180928793,-1.104318718,-1.104318718
5.21,-1.170462599,-1.098407168,-1.098407168
5.22,-1.15982431,-1.092385767,-1.092385767
5.23,-1.149017095,-1.086255114,-1.086255114
5.24,-1.138044244,-1.080015822,-1.080015822
5.25,-1.126909164,-1.073668516,-1.073668516
5.26,-1.115615377,-1.06721383,-1.06721383
5.27,-1.104166528,-1.060652412,-1.060652412
5.28,-1.092566376,-1.05398492,-1.05398492
5.29,-1.0808188,-1.047212021,-1.047212021
5.3,-1.068927797,-1.040334398,-1.040334398
5.31,-1.056897482,-1.033352743,-1.033352743
5.32,-1.044732086,-1.026267757,-1.026267757
5.33,-1.032435962,-1.019080157,-1.019080157
5.34,-1.020013577,-1.011790667,-1.011790667
5.35,-1.007469519,-1.004400026,-1.004400026
5.36,-0.9947757671,-0.9969089656,-0.9969089656
5.37,-0.9819399843,-0.9893182094,-0.9893182094
5.38,-0.9689775425,-0.981628519,-0.981628519
5.39,-0.9558961633,-0.973840666,-0.973840666
5.4,-0.9427033579,-0.9659554313,-0.9659554313
5.41,-0.9294064272,-0.9579736047,-0.9579736047
5.42,-0.9160124616,-0.9498959851,-0.9498959851
5.43,-0.9025283414,-0.9417233804,-0.9417233804
5.44,-0.8889607361,-0.9334566076,-0.9334566076
5.45,-0.8753161054,-0.9250964927,-0.9250964927
5.46,-0.8616006982,-0.9166438709,-0.9166438709
5.47,-0.8478205532,-0.9080995863,-0.9080995863
5.48,-0.8339814988,-0.8994644921,-0.8994644921
5.49,-0.820089153,-0.8907394506,-0.8907394506
5.5,-0.8061489233,-0.881925333,-0.881925333
5.51,-0.792166007,-0.8730230197,-0.8730230197
5.52,-0.7781453911,-0.8640334002,-0.8640334002
5.53,-0.764091852,-0.8549573729,-0.8549573729
5.54,-0.750009956,-0.8457958452,-0.8457958452
